App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-joshua;SpanTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\corpus\SpanTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\corpus\Span.java;45;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;VocabularyTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\corpus\VocabularyTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\corpus\Vocabulary.java;133;11;32;4;1;0;0;0;0;14;0;0;0;0;0;0;0;1;1;0;0;0;4
test-smells-joshua;BnEnDecodingTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\BnEnDecodingTest.java;;121;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;ConstrainedTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\ConstrainedTest.java;;65;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;DenormalizationTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\DenormalizationTest.java;;58;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;DoNotCrashTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\DoNotCrashTest.java;;62;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;LeftStateTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\LeftStateTest.java;;65;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;LowercaseTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\LowercaseTest.java;;115;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;NAryTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\NAryTest.java;;82;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;NoGrammarTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\NoGrammarTest.java;;56;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;NumTranslationOptionsTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\NumTranslationOptionsTest.java;;106;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;OOVListTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\OOVListTest.java;;66;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;RescoringTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\RescoringTest.java;;67;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;SourceAnnotationsTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\SourceAnnotationsTest.java;;70;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;SparseFeatureTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\SparseFeatureTest.java;;64;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;TooLongTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\TooLongTest.java;;86;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;TreeOutputTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\TreeOutputTest.java;;65;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;UniqueHypothesesTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\cky\UniqueHypothesesTest.java;;74;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;ArpaFileTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\lm\ArpaFileTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\ff\lm\ArpaFile.java;164;7;6;3;1;0;0;0;0;9;2;0;0;0;0;2;0;1;0;2;0;0;2
test-smells-joshua;LMBerkeleySentenceProbablityTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\lm\berkeley_lm\LMBerkeleySentenceProbablityTest.java;;64;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;LMGrammarBerkeleyTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\lm\berkeley_lm\LMGrammarBerkeleyTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\ff\lm\berkeley_lm\LMGrammarBerkeley.java;125;17;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;ClassBasedLanguageModelTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\lm\class_lm\ClassBasedLanguageModelTest.java;;76;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;ClassMapTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\lm\class_lm\ClassMapTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\ff\lm\ClassMap.java;67;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;LanguageModelFFTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\lm\LanguageModelFFTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\ff\lm\LanguageModelFF.java;96;7;0;3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-joshua;OwnerMapTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\ff\tm\OwnerMapTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\ff\tm\OwnerMap.java;58;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-joshua;DeNormalizeTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\io\DeNormalizeTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\io\DeNormalize.java;273;20;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;5
test-smells-joshua;TranslationRequestStreamTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\io\TranslationRequestStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\io\TranslationRequestStream.java;158;11;1;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;3
test-smells-joshua;KBestExtractionTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\kbest_extraction\KBestExtractionTest.java;;79;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;ConstrainedPhraseDecodingTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\phrase\constrained\ConstrainedPhraseDecodingTest.java;;76;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;CoverageTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\phrase\CoverageTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\phrase\Coverage.java;142;8;19;8;0;0;0;0;0;20;4;0;0;0;0;0;0;0;1;0;0;0;4
test-smells-joshua;PhraseDecodingTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\phrase\decode\PhraseDecodingTest.java;;90;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;AlmostTooLongSentenceTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\segment_file\AlmostTooLongSentenceTest.java;;96;13;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-joshua;SentenceTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\segment_file\SentenceTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\segment_file\Sentence.java;109;13;0;5;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;3
test-smells-joshua;TestTranslation;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\decoder\TestTranslation.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\decoder\Translation.java;140;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-joshua;ArcTest;C:\Users\crist\.jnose_projects\test-smells-joshua\src\test\java\org\apache\joshua\lattice\ArcTest.java;C:\Users\crist\.jnose_projects\test-smells-joshua\src\main\java\org\apache\joshua\lattice\Arc.java;84;10;3;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
