App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-knox;KnoxLdapRealmTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-adapter\src\test\java\org\apache\hadoop\gateway\shirorealm\KnoxLdapRealmTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-security-shiro\src\main\java\org\apache\knox\gateway\shirorealm\KnoxLdapRealm.java;105;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-knox;KnoxPamRealmTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-adapter\src\test\java\org\apache\hadoop\gateway\shirorealm\KnoxPamRealmTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-security-shiro\src\main\java\org\apache\knox\gateway\shirorealm\KnoxPamRealm.java;72;3;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-knox;SimpleLdapServerTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-demo-ldap\src\test\java\org\apache\knox\gateway\security\ldap\SimpleLdapServerTest.java;;84;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0
test-smells-knox;AmbariClusterTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariClusterTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariCluster.java;212;10;24;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-knox;AmbariConfigurationMonitorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariConfigurationMonitorTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariConfigurationMonitor.java;329;10;0;1;0;0;0;0;0;2;3;0;0;0;0;1;0;1;1;1;0;0;0
test-smells-knox;AmbariDynamicServiceURLCreatorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariDynamicServiceURLCreatorTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariDynamicServiceURLCreator.java;1454;62;30;2;2;0;0;13;0;16;1;0;0;0;0;14;0;2;3;2;0;0;1
test-smells-knox;AmbariServiceDiscoveryTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariServiceDiscoveryTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\AmbariServiceDiscovery.java;1111;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;ResourceManagerURLCreatorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\ResourceManagerURLCreatorTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\ResourceManagerURLCreator.java;83;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;SparkServiceURLCreatorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\SparkServiceURLCreatorTest.java;;347;30;8;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;WebHdfsUrlCreatorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\WebHdfsUrlCreatorTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\WebHdfsUrlCreator.java;387;8;23;6;0;0;0;0;0;8;0;0;0;0;0;6;0;0;0;0;0;0;2
test-smells-knox;YarnUIURLCreatorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\test\java\org\apache\knox\gateway\topology\discovery\ambari\YarnUIURLCreatorTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-discovery-ambari\src\main\java\org\apache\knox\gateway\topology\discovery\ambari\YarnUIURLCreator.java;86;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;MessagesTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-i18n\src\test\java\org\apache\knox\gateway\i18n\messages\MessagesTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-util-urltemplate\src\main\java\org\apache\knox\gateway\util\urltemplate\Messages.java;48;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;ResourcesTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-i18n\src\test\java\org\apache\knox\gateway\i18n\resources\ResourcesTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-util-urltemplate\src\main\java\org\apache\knox\gateway\util\urltemplate\Resources.java;110;6;11;0;0;0;0;0;0;6;0;0;1;0;0;1;0;0;0;0;0;0;0
test-smells-knox;Log4jMessageLoggerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-i18n-logging-log4j\src\test\java\org\apache\knox\gateway\i18n\messages\loggers\log4j\Log4jMessageLoggerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-i18n-logging-log4j\src\main\java\org\apache\knox\gateway\i18n\messages\loggers\log4j\Log4jMessageLoggerFactory.java;45;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;Sl4jMessageLoggerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-i18n-logging-sl4j\src\test\java\org\apache\knox\gateway\i18n\messages\loggers\sl4j\Sl4jMessageLoggerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-i18n-logging-sl4j\src\main\java\org\apache\knox\gateway\i18n\messages\loggers\sl4j\Sl4jMessageLoggerFactory.java;45;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-knox;HaProviderDeploymentContributorTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\deploy\HaProviderDeploymentContributorTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\deploy\HaProviderDeploymentContributor.java;455;10;4;4;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;6
test-smells-knox;DefaultHaDispatchTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\dispatch\DefaultHaDispatchTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\dispatch\DefaultHaDispatch.java;109;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-knox;AtlasZookeeperURLManagerTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\provider\impl\AtlasZookeeperURLManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\provider\impl\AtlasZookeeperURLManager.java;162;17;1;1;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-knox;DefaultHaProviderTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\provider\impl\DefaultHaProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\provider\impl\DefaultHaProvider.java;91;3;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;3
test-smells-knox;DefaultURLManagerTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\provider\impl\DefaultURLManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\provider\impl\DefaultURLManager.java;109;4;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;4
test-smells-knox;HaDescriptorFactoryTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\provider\impl\HaDescriptorFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\provider\impl\HaDescriptorFactory.java;56;2;13;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-knox;HaDescriptorManagerTest;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\test\java\org\apache\knox\gateway\ha\provider\impl\HaDescriptorManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-knox\gateway-provider-ha\src\main\java\org\apache\knox\gateway\ha\provider\impl\HaDescriptorManager.java;90;3;18;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1
