App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-logging-log4j-audit;AuditLoggerTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\AuditLoggerTest.java;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\main\java\org\apache\logging\log4j\audit\AuditLogger.java;147;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-logging-log4j-audit;BaseEventTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\BaseEventTest.java;;39;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-logging-log4j-audit;CatalogManagerTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\catalog\CatalogManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\main\java\org\apache\logging\log4j\audit\catalog\CatalogManager.java;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-logging-log4j-audit;TestInterfacesGenerator;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\generator\TestInterfacesGenerator.java;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\main\java\org\apache\logging\log4j\audit\generator\InterfacesGenerator.java;68;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-logging-log4j-audit;LoginTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\LoginTest.java;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\event\Login.java;55;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-logging-log4j-audit;RequestContextTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\RequestContextTest.java;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\RequestContext.java;51;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-logging-log4j-audit;TransferTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\TransferTest.java;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-api\src\test\java\org\apache\logging\log4j\audit\event\Transfer.java;269;14;1;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;4;0;0;4
test-smells-logging-log4j-audit;CatalogTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-audit\log4j-audit-war\src\test\java\org\apache\logging\log4j\audit\service\CatalogTest.java;;130;5;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-logging-log4j-audit;CatalogTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-catalog\log4j-catalog-git\src\test\java\org\apache\logging\log4j\catalog\git\CatalogTest.java;;108;13;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-logging-log4j-audit;CatalogTest;C:\Users\crist\.jnose_projects\test-smells-logging-log4j-audit\log4j-catalog\log4j-catalog-jpa\src\test\java\org\apache\logging\log4j\catalog\jpa\CatalogTest.java;;204;16;21;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;6;2;0;0;0
