App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-mahout;MySQLJDBCInMemoryItemSimilarityTest;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\cf\taste\impl\similarity\jdbc\MySQLJDBCInMemoryItemSimilarityTest.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\cf\taste\impl\similarity\jdbc\MySQLJDBCInMemoryItemSimilarity.java;79;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-mahout;TestCDbwEvaluator;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\clustering\cdbw\TestCDbwEvaluator.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\clustering\cdbw\CDbwEvaluator.java;326;24;0;10;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5
test-smells-mahout;TestClusterDumper;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\clustering\TestClusterDumper.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\utils\clustering\ClusterDumper.java;236;9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-mahout;TestClusterEvaluator;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\clustering\TestClusterEvaluator.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\clustering\evaluation\ClusterEvaluator.java;321;25;0;10;0;0;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;3
test-smells-mahout;MailArchivesClusteringAnalyzerTest;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\text\MailArchivesClusteringAnalyzerTest.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\text\MailArchivesClusteringAnalyzer.java;66;1;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-mahout;SequenceFilesFromMailArchivesTest;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\text\SequenceFilesFromMailArchivesTest.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\text\SequenceFilesFromMailArchives.java;240;6;16;0;2;0;0;0;0;1;4;0;0;0;0;2;0;3;6;0;0;0;1
test-smells-mahout;TestSequenceFilesFromDirectory;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\text\TestSequenceFilesFromDirectory.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\text\SequenceFilesFromDirectory.java;313;11;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
test-smells-mahout;Bump125Test;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\utils\Bump125Test.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\utils\Bump125.java;42;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-mahout;MailProcessorTest;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\utils\email\MailProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\utils\email\MailProcessor.java;72;2;3;2;2;0;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0;0;2
test-smells-mahout;BloomTokenFilterTest;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\test\java\org\apache\mahout\utils\nlp\collocations\llr\BloomTokenFilterTest.java;C:\Users\crist\.jnose_projects\test-smells-mahout\community\mahout-mr\integration\src\main\java\org\apache\mahout\utils\nlp\collocations\llr\BloomTokenFilter.java;154;17;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
