App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-maven-indexer;AbstractNexusIndexerCliTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-cli\src\test\java\org\apache\maven\index\cli\AbstractNexusIndexerCliTest.java;;268;19;0;0;2;0;0;0;0;13;0;0;0;0;0;0;0;2;3;0;0;0;0
test-smells-maven-indexer;M1GavCalculatorTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\artifact\M1GavCalculatorTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\artifact\M1GavCalculator.java;376;7;200;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;33;0;0;0;2
test-smells-maven-indexer;M2GavCalculatorTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\artifact\M2GavCalculatorTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\artifact\M2GavCalculator.java;760;11;431;2;0;0;0;0;0;13;0;0;0;0;0;4;0;0;73;0;0;0;2
test-smells-maven-indexer;MavenArtifactRecognizerTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\artifact\MavenArtifactRecognizerTest.java;;69;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-indexer;IndexUserThread;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\ConcurrentUseTest.java;;263;16;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-maven-indexer;NexusAnalyzerTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\context\NexusAnalyzerTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\context\NexusAnalyzer.java;79;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-maven-indexer;TrackingLockFactoryTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\context\TrackingLockFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\context\TrackingLockFactory.java;84;4;4;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;2
test-smells-maven-indexer;OsgiArtifactIndexCreatorTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\creator\OsgiArtifactIndexCreatorTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\creator\OsgiArtifactIndexCreator.java;371;16;31;0;3;0;0;0;0;6;0;0;2;0;0;4;0;3;0;5;0;0;1
test-smells-maven-indexer;DuplicateSearchTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\DuplicateSearchTest.java;;225;9;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-maven-indexer;FullIndexNexusIndexerTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\FullIndexNexusIndexerTest.java;;543;11;43;0;1;0;0;0;0;24;5;0;0;0;0;3;0;1;7;1;0;0;0
test-smells-maven-indexer;Mindexer35NexusIndexerTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\Mindexer35NexusIndexerTest.java;;71;3;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-indexer;Nexus1911IncrementalTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\Nexus1911IncrementalTest.java;;356;17;54;0;4;0;0;0;0;0;0;0;3;0;0;5;0;5;0;5;0;0;0
test-smells-maven-indexer;Nexus3881NexusIndexerTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\Nexus3881NexusIndexerTest.java;;80;3;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-maven-indexer;NexusIndexerTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\NexusIndexerTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\NexusIndexer.java;639;16;28;0;4;0;0;0;0;13;1;0;0;0;0;5;0;4;8;1;0;0;4
test-smells-maven-indexer;NEXUS4149TransferFormatTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\packer\NEXUS4149TransferFormatTest.java;;213;9;2;0;1;0;0;0;0;4;5;0;0;0;0;1;0;1;0;2;0;0;0
test-smells-maven-indexer;IndexDirectoryFileAction;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\updater\DefaultIndexUpdaterTest.java;;985;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-indexer;IndexCreatorSorterTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\test\java\org\apache\maven\index\util\IndexCreatorSorterTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-core\src\main\java\org\apache\maven\index\util\IndexCreatorSorter.java;124;3;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;1;0;0;1
test-smells-maven-indexer;BasicUsageExampleTest;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-examples\indexer-examples-basic\src\test\java\org\apache\maven\indexer\examples\BasicUsageExampleTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-indexer\indexer-examples\indexer-examples-basic\src\main\java\org\apache\maven\indexer\examples\BasicUsageExample.java;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
