App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-maven-javadoc-plugin;Mjavadoc180Test;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\additional-dependencies\module1\src\test\java\edu\jhu\library\Mjavadoc180Test.java;;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;Mjavadoc180Test;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\additional-dependencies-non-aggregate\module1\src\test\java\edu\jhu\library\Mjavadoc180Test.java;;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-1\MJAVADOC-280-1-modA\src\test\java\org\apache\maven\plugins\mjavadoc\it\moda\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-1\MJAVADOC-280-1-modB\src\test\java\org\apache\maven\plugins\mjavadoc\it\modb\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-2\MJAVADOC-280-2-projects\MJAVADOC-280-2-modA\src\test\java\org\apache\maven\plugins\mjavadoc\it\moda\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-2\MJAVADOC-280-2-projects\MJAVADOC-280-2-modB\src\test\java\org\apache\maven\plugins\mjavadoc\it\modb\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-3\MJAVADOC-280-3-modA\src\test\java\org\apache\maven\plugins\mjavadoc\it\moda\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-3\MJAVADOC-280-3-modB\src\test\java\org\apache\maven\plugins\mjavadoc\it\modb\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-4\MJAVADOC-280-4-projects\MJAVADOC-280-4-modA\src\test\java\org\apache\maven\plugins\mjavadoc\it\moda\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-javadoc-plugin;AppTest;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\it\projects\dependencySource-4\MJAVADOC-280-4-projects\MJAVADOC-280-4-modB\src\test\java\org\apache\maven\plugins\mjavadoc\it\modb\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-javadoc-plugin\src\test\resources\unit\validate-options-test\src\main\java\test\App.java;57;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
