App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-maven-surefire;IntegrationTestMojoTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-failsafe-plugin\src\test\java\org\apache\maven\plugin\failsafe\IntegrationTestMojoTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-failsafe-plugin\src\main\java\org\apache\maven\plugin\failsafe\IntegrationTestMojo.java;83;5;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3
test-smells-maven-surefire;JUnit4SuiteTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-failsafe-plugin\src\test\java\org\apache\maven\plugin\failsafe\JUnit4SuiteTest.java;;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-surefire;MarshallerUnmarshallerTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-failsafe-plugin\src\test\java\org\apache\maven\plugin\failsafe\MarshallerUnmarshallerTest.java;;99;2;11;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0
test-smells-maven-surefire;RunResultTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-failsafe-plugin\src\test\java\org\apache\maven\plugin\failsafe\RunResultTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\surefire-api\src\main\java\org\apache\maven\surefire\suite\RunResult.java;151;8;12;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;6
test-smells-maven-surefire;AbstractSurefireMojoJava7PlusTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\test\java\org\apache\maven\plugin\surefire\AbstractSurefireMojoJava7PlusTest.java;;607;5;18;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
test-smells-maven-surefire;AbstractSurefireMojoTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\test\java\org\apache\maven\plugin\surefire\AbstractSurefireMojoTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\main\java\org\apache\maven\plugin\surefire\AbstractSurefireMojo.java;1996;26;27;10;10;0;0;0;0;3;2;0;0;0;0;10;0;10;3;0;0;0;18
test-smells-maven-surefire;BooterDeserializerProviderConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\test\java\org\apache\maven\plugin\surefire\booterclient\BooterDeserializerProviderConfigurationTest.java;;266;23;26;0;2;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-maven-surefire;BooterDeserializerStartupConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\test\java\org\apache\maven\plugin\surefire\booterclient\BooterDeserializerStartupConfigurationTest.java;;168;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-maven-surefire;DefaultForkConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\test\java\org\apache\maven\plugin\surefire\booterclient\DefaultForkConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\main\java\org\apache\maven\plugin\surefire\booterclient\DefaultForkConfiguration.java;342;23;2;0;0;0;0;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0;1
test-smells-maven-surefire;ForkConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\test\java\org\apache\maven\plugin\surefire\booterclient\ForkConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-maven-surefire\maven-surefire-common\src\main\java\org\apache\maven\plugin\surefire\booterclient\ForkConfiguration.java;223;11;5;3;5;0;0;0;0;0;1;0;0;0;0;0;0;5;0;2;0;0;2
