App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-metamodel;CassandraDataContextTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\cassandra\src\test\java\org\apache\metamodel\cassandra\CassandraDataContextTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\cassandra\src\main\java\org\apache\metamodel\cassandra\CassandraDataContext.java;268;30;33;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;8;0;0;0
test-smells-metamodel;MyDataContext;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\AbstractDataContextTest.java;;284;8;40;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;11;0;0;0;0
test-smells-metamodel;CompositeDataContextTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\CompositeDataContextTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\CompositeDataContext.java;116;3;21;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;1
test-smells-metamodel;ColumnTypeDetectorTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\ColumnTypeDetectorTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\ColumnTypeDetector.java;72;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-metamodel;ConvertedDataSetInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\ConvertedDataSetInterceptorTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\ConvertedDataSetInterceptor.java;93;2;17;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0
test-smells-metamodel;ConvertedRowInsertionInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\ConvertedRowInsertionInterceptorTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\ConvertedRowInsertionInterceptor.java;61;1;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-metamodel;ConvertersTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\ConvertersTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\Converters.java;160;2;52;2;0;0;0;0;0;21;3;0;0;0;0;2;0;0;11;0;0;0;2
test-smells-metamodel;StringToBooleanConverterTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\StringToBooleanConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\StringToBooleanConverter.java;37;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-metamodel;StringToDateConverterTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\StringToDateConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\StringToDateConverter.java;66;4;6;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-metamodel;StringToDoubleConverterTest;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\test\java\org\apache\metamodel\convert\StringToDoubleConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-metamodel\core\src\main\java\org\apache\metamodel\convert\StringToDoubleConverter.java;39;3;5;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
