App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-metron;ServiceDiscoveryIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-maas-common\src\test\java\org\apache\metron\maas\discovery\ServiceDiscoveryIntegrationTest.java;;133;10;11;0;0;0;0;0;0;11;0;0;3;0;0;1;0;0;2;0;0;0;0
test-smells-metron;MaasIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-maas-service\src\test\java\org\apache\metron\maas\service\MaasIntegrationTest.java;;452;17;4;0;0;0;0;2;0;1;11;0;0;0;0;1;0;0;1;2;0;0;0
test-smells-metron;StellarMaaSIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-maas-service\src\test\java\org\apache\metron\maas\service\StellarMaaSIntegrationTest.java;;181;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-metron;HBaseProfilerClientTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\test\java\org\apache\metron\profiler\client\HBaseProfilerClientTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\main\java\org\apache\metron\profiler\client\HBaseProfilerClient.java;203;15;10;0;0;0;0;0;0;3;0;0;2;0;0;1;0;0;4;0;0;0;1
test-smells-metron;GetProfileTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\test\java\org\apache\metron\profiler\client\stellar\GetProfileTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\main\java\org\apache\metron\profiler\client\stellar\GetProfile.java;456;23;13;0;3;0;0;1;0;5;0;0;3;0;0;4;0;0;2;0;0;0;0
test-smells-metron;IntervalPredicateTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\test\java\org\apache\metron\profiler\client\stellar\IntervalPredicateTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\main\java\org\apache\metron\profiler\client\stellar\IntervalPredicate.java;89;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-metron;VerboseProfileTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\test\java\org\apache\metron\profiler\client\stellar\VerboseProfileTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\main\java\org\apache\metron\profiler\client\stellar\VerboseProfile.java;220;15;21;0;0;0;0;0;0;2;3;0;4;0;0;1;0;0;0;0;0;0;0
test-smells-metron;WindowLookbackTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\test\java\org\apache\metron\profiler\client\stellar\WindowLookbackTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\main\java\org\apache\metron\profiler\client\stellar\WindowLookback.java;207;15;0;0;0;0;0;9;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-metron;WindowProcessorTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\test\java\org\apache\metron\profiler\client\window\WindowProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-client\src\main\java\org\apache\metron\profiler\client\window\WindowProcessor.java;327;18;24;0;0;0;0;0;0;32;4;0;0;0;0;2;0;0;3;0;0;0;1
test-smells-metron;DefaultClockFactoryTest;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-common\src\test\java\org\apache\metron\profiler\clock\DefaultClockFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-metron\metron-analytics\metron-profiler-common\src\main\java\org\apache\metron\profiler\clock\DefaultClockFactory.java;75;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
