App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-myfaces-tobago;AbstractGeneratedUIComponentsUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\AbstractGeneratedUIComponentsUnitTest.java;;80;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-myfaces-tobago;AttributesOfGeneratedUIComponentsUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\AttributesOfGeneratedUIComponentsUnitTest.java;;62;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-myfaces-tobago;ClientBehaviorsUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\ClientBehaviorsUnitTest.java;;32;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-myfaces-tobago;FacetsUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\FacetsUnitTest.java;;32;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-myfaces-tobago;MethodOverwritingOfGeneratedUIComponentsUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\MethodOverwritingOfGeneratedUIComponentsUnitTest.java;;105;5;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-myfaces-tobago;RendererTypesUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\RendererTypesUnitTest.java;;43;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-myfaces-tobago;TagsUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\TagsUnitTest.java;;43;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-myfaces-tobago;UIMessagesUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\UIMessagesUnitTest.java;;134;9;1;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-myfaces-tobago;UISheetUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\component\UISheetUnitTest.java;;404;24;4;0;0;0;0;0;0;28;0;0;3;0;0;4;0;0;14;7;0;0;0
test-smells-myfaces-tobago;MarkupUnitTest;C:\Users\crist\.jnose_projects\test-smells-myfaces-tobago\tobago-core\src\test\java\org\apache\myfaces\tobago\context\MarkupUnitTest.java;;209;12;52;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
