App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-nifi-minifi;ConfigurationChangeCoordinatorTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ConfigurationChangeCoordinatorTest.java;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\main\java\org\apache\nifi\minifi\bootstrap\configuration\ConfigurationChangeCoordinator.java;84;7;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-nifi-minifi;WholeConfigDifferentiatorTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\differentiators\WholeConfigDifferentiatorTest.java;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\main\java\org\apache\nifi\minifi\bootstrap\configuration\differentiators\WholeConfigDifferentiator.java;110;13;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-nifi-minifi;PullHttpChangeIngestorCommonTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\common\PullHttpChangeIngestorCommonTest.java;;279;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nifi-minifi;RestChangeIngestorCommonTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\common\RestChangeIngestorCommonTest.java;;127;11;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nifi-minifi;FileChangeIngestorTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\FileChangeIngestorTest.java;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\main\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\FileChangeIngestor.java;171;18;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1
test-smells-nifi-minifi;PullHttpChangeIngestorSSLTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\PullHttpChangeIngestorSSLTest.java;;85;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nifi-minifi;PullHttpChangeIngestorTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\PullHttpChangeIngestorTest.java;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\main\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\PullHttpChangeIngestor.java;63;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nifi-minifi;RestChangeIngestorSSLTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\RestChangeIngestorSSLTest.java;;150;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nifi-minifi;RestChangeIngestorTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\RestChangeIngestorTest.java;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\main\java\org\apache\nifi\minifi\bootstrap\configuration\ingestors\RestChangeIngestor.java;57;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nifi-minifi;StatusLoggerTest;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\test\java\org\apache\nifi\minifi\bootstrap\status\reporters\StatusLoggerTest.java;C:\Users\crist\.jnose_projects\test-smells-nifi-minifi\minifi-bootstrap\src\main\java\org\apache\nifi\minifi\bootstrap\status\reporters\StatusLogger.java;209;21;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
