App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-openejb;OpenEJBDeploymentCamelTest;C:\Users\crist\.jnose_projects\test-smells-openejb\camel\camel-openejb\src\test\java\org\apache\openejb\camel\OpenEJBDeploymentCamelTest.java;;127;13;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-openejb;MoveClassesTest;C:\Users\crist\.jnose_projects\test-smells-openejb\colossus\big-cdi-webapp\src\test\java\org\apache\openejb\colossus\generator\cdi\MoveClassesTest.java;;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-openejb;MoveClassesTest;C:\Users\crist\.jnose_projects\test-smells-openejb\colossus\big-ejb-webapp\src\test\java\org\apache\openejb\colossus\generator\ejb\MoveClassesTest.java;;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-openejb;MoveClassesTest;C:\Users\crist\.jnose_projects\test-smells-openejb\colossus\big-webapp-with-few-annotations\src\test\java\org\apache\openejb\colossus\generator\ejb\MoveClassesTest.java;;14;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-openejb;AdapterArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\AdapterArquillianStandaloneTest.java;;43;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;ArquillianAndMockitoTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\ArquillianAndMockitoTest.java;;66;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;BindingInJavaGlobalTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\BindingInJavaGlobalTest.java;;66;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;CDIArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\CDIArquillianStandaloneTest.java;;67;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;EJBArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\EJBArquillianStandaloneTest.java;;51;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;EnvEntriesArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\EnvEntriesArquillianStandaloneTest.java;;48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;ExceptionInjectionTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\ExceptionInjectionTest.java;;65;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;JPAArquillianAdapterTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\JPAArquillianAdapterTest.java;;106;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;LifecycleTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\LifecycleTest.java;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\container\openejb-jee\src\main\java\org\apache\openejb\jee\Lifecycle.java;112;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;RequestScopeArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\RequestScopeArquillianStandaloneTest.java;;55;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;ResourceArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\ResourceArquillianStandaloneTest.java;;47;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;StartDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\StartDeploymentTest.java;;53;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;SWLibTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\SWLibTest.java;;53;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;SWBean;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\SWMavenWarTest.java;;65;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;TransactionTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\TransactionTest.java;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\itests\openejb-itests-beans\src\main\java\org\apache\openejb\test\object\Transaction.java;71;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;VirtualResourceTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\VirtualResourceTest.java;;56;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;WARArquillianTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-openejb-embedded-4\src\test\java\org\apache\openejb\arquillian\openejb\WARArquillianTest.java;;57;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;EmbeddedTomEEContainerTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-embedded\src\test\java\org\apache\openejb\arquillian\embedded\EmbeddedTomEEContainerTest.java;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\tomee\tomee-embedded\src\main\java\org\apache\tomee\embedded\EmbeddedTomEEContainer.java;68;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;MoviesEJBTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-moviefun-example\src\test\java\org\superbiz\moviefun\MoviesEJBTest.java;;83;5;7;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;MoviesHtmlUnitTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-moviefun-example\src\test\java\org\superbiz\moviefun\MoviesHtmlUnitTest.java;;105;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
test-smells-openejb;MoviesSeleniumTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-moviefun-example\src\test\java\org\superbiz\moviefun\MoviesSeleniumTest.java;;130;5;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0
test-smells-openejb;MoviesTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-moviefun-example\src\test\java\org\superbiz\moviefun\MoviesTest.java;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\examples\troubleshooting\src\main\java\org\superbiz\troubleshooting\Movies.java;82;6;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;CheckServerInfoTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-remote\src\test\java\org\apache\openejb\arquillian\CheckServerInfoTest.java;;42;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;SessionScopeTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-remote\src\test\java\org\apache\openejb\arquillian\session\SessionScopeTest.java;;88;3;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-openejb;TomEEContainerTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-remote\src\test\java\org\apache\openejb\arquillian\TomEEContainerTest.java;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-common\src\main\java\org\apache\openejb\arquillian\common\TomEEContainer.java;75;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openejb;UnpackTest;C:\Users\crist\.jnose_projects\test-smells-openejb\openejb\arquillian\arquillian-tomee-remote\src\test\java\org\apache\openejb\arquillian\unpack\UnpackTest.java;;78;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
