App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-openwebbeans;OwbArquillianGetResourcesTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\OwbArquillianGetResourcesTest.java;;124;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;OwbArquillianImplicitBdaJarDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\OwbArquillianImplicitBdaJarDeploymentTest.java;;69;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;OwbArquillianJarDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\OwbArquillianJarDeploymentTest.java;;67;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;OwbArquillianTrimmedBdaJarDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\OwbArquillianTrimmedBdaJarDeploymentTest.java;;70;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;OwbArquillianWebInfClassesDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\OwbArquillianWebInfClassesDeploymentTest.java;;67;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;OwbArquillianWebJarDeploymentTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\OwbArquillianWebJarDeploymentTest.java;;103;4;6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;VirtualResourceInWebappTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\VirtualResourceInWebappTest.java;;69;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-openwebbeans;VirtualResourceTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-arquillian\owb-arquillian-standalone\src\test\java\org\apache\webbeans\arquillian\test\VirtualResourceTest.java;;69;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-openwebbeans;AbstractUnitTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-el22\src\test\java\org\apache\webbeans\el\test\AbstractUnitTest.java;;154;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;ELPerformanceTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-el22\src\test\java\org\apache\webbeans\el\test\ELPerformanceTest.java;;126;5;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-openwebbeans;ConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\it\properties\src\test\java\org\apache\webbeans\test\spi\configuration\ConfigurationTest.java;;50;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;ExcludeExtensionsTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\it\properties\src\test\java\org\apache\webbeans\test\spi\configuration\ExcludeExtensionsTest.java;;87;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-openwebbeans;OwbCDIProviderTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\container\OwbCDIProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\main\java\org\apache\webbeans\container\OwbCDIProvider.java;94;6;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;OwbRequestContextControllerTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\context\control\OwbRequestContextControllerTest.java;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\main\java\org\apache\webbeans\context\control\OwbRequestContextController.java;50;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-openwebbeans;AbstractMetaDataDiscoveryTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\corespi\scanner\AbstractMetaDataDiscoveryTest.java;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\main\java\org\apache\webbeans\corespi\scanner\AbstractMetaDataDiscovery.java;48;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;UnsafeTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\proxy\UnsafeTest.java;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\main\java\org\apache\webbeans\proxy\Unsafe.java;45;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;AbstractUnitTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\AbstractUnitTest.java;;346;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;BeanCacheKeyUnitTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\annotation\binding\BeanCacheKeyUnitTest.java;;295;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;MyContextual;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\bean\SerializableBeanEqualTest.java;;156;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;ThirdPartyBeanLookupTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\bean\ThirdPartyBeanLookupTest.java;;161;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;ThirdPartyProgrammaticLookupTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\component\third\ThirdPartyProgrammaticLookupTest.java;;42;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;AlternativeBeanResolvingTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\alternatives\tests\AlternativeBeanResolvingTest.java;;151;6;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;AlternativeInstanceTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\alternatives\tests\AlternativeInstanceTest.java;;91;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;AlternativeOnProducerFieldTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\alternatives\tests\AlternativeOnProducerFieldTest.java;;82;3;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-openwebbeans;AlternativeProducerMethodTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\alternatives\tests\AlternativeProducerMethodTest.java;;117;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;CustomAlternativeBeanTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\alternatives\tests\CustomAlternativeBeanTest.java;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\alternatives\alternativebean\CustomAlternativeBean.java;96;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-openwebbeans;BrokenInitializerMethodBecauseofGenericTest;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\initializerMethods\tests\BrokenInitializerMethodBecauseofGenericTest.java;C:\Users\crist\.jnose_projects\test-smells-openwebbeans\webbeans-impl\src\test\java\org\apache\webbeans\test\concepts\initializerMethods\beans\BrokenInitializerMethodBecauseofGeneric.java;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
