App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-parquet-java;TestSchemaConverter;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-arrow\src\test\java\org\apache\parquet\arrow\schema\TestSchemaConverter.java;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-arrow\src\main\java\org\apache\parquet\arrow\schema\SchemaConverter.java;530;38;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-parquet-java;TestArrayCompatibility;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestArrayCompatibility.java;;1209;23;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
test-smells-parquet-java;GenericDataSupplier;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestAvroDataSupplier.java;;43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-parquet-java;TestAvroSchemaConverter;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestAvroSchemaConverter.java;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\main\java\org\apache\parquet\avro\AvroSchemaConverter.java;764;37;0;5;0;0;0;26;0;0;10;0;0;0;0;3;0;0;0;0;0;0;2
test-smells-parquet-java;TestBackwardCompatibility;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestBackwardCompatibility.java;;68;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-parquet-java;HijackingIndexedRecord;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestCircularReferences.java;;383;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
test-smells-parquet-java;TestGenericLogicalTypes;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestGenericLogicalTypes.java;;271;17;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
test-smells-parquet-java;MyMapper2;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestInputOutputFormat.java;;145;1;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0
test-smells-parquet-java;TestReadWrite;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestReadWrite.java;;705;18;37;0;2;0;0;0;0;9;7;0;0;0;0;5;0;2;0;2;0;0;0
test-smells-parquet-java;TestReadWriteOldListBehavior;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestReadWriteOldListBehavior.java;;595;13;36;0;8;0;0;0;0;9;1;0;0;0;0;3;0;8;0;1;0;0;0
test-smells-parquet-java;ElectricCarFilter;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestReflectInputOutputFormat.java;;496;3;3;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-parquet-java;TestReflectLogicalTypes;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestReflectLogicalTypes.java;;705;22;0;0;12;0;0;0;0;6;0;0;0;0;0;6;0;12;0;0;0;0;0
test-smells-parquet-java;TestReflectReadWrite;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestReflectReadWrite.java;;216;7;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-parquet-java;ElectricCarFilter;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestSpecificInputOutputFormat.java;;287;3;3;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-parquet-java;TestSpecificReadWrite;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestSpecificReadWrite.java;;307;18;30;0;1;0;0;0;0;1;9;0;0;0;0;1;0;1;1;0;0;0;0
test-smells-parquet-java;TestStringBehavior;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-avro\src\test\java\org\apache\parquet\avro\TestStringBehavior.java;;363;14;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;8;0;0;0
test-smells-parquet-java;TestParquetTBaseScheme;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-cascading\src\test\java\org\apache\parquet\cascading\TestParquetTBaseScheme.java;C:\Users\crist\.jnose_projects\test-smells-parquet-java\parquet-cascading3\src\main\java\org\apache\parquet\cascading\ParquetTBaseScheme.java;187;11;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
