App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-pivot;BeanAdapterTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\beans\test\BeanAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\beans\BeanAdapter.java;178;13;5;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;3;6;0;0;0
test-smells-pivot;ArrayListTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\ArrayListTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\ArrayList.java;133;3;28;3;0;0;0;0;0;12;3;0;0;0;0;1;0;0;3;0;0;0;2
test-smells-pivot;DictionaryTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\DictionaryTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\Dictionary.java;71;4;7;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;EnumListTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\EnumListTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\EnumList.java;37;2;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;EnumMapTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\EnumMapTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\EnumMap.java;52;2;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;HashMapTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\HashMapTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\HashMap.java;225;8;29;4;0;0;0;0;0;18;6;0;0;0;0;1;0;0;5;1;0;0;5
test-smells-pivot;HashSetTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\HashSetTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\HashSet.java;106;2;12;2;0;0;0;0;0;4;4;0;0;0;0;1;0;0;2;0;0;0;3
test-smells-pivot;LinkedListTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\LinkedListTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\LinkedList.java;170;5;26;5;0;0;0;0;0;9;3;0;0;0;0;1;0;0;4;0;0;0;6
test-smells-pivot;QueueTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\QueueTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\Queue.java;105;5;0;3;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-pivot;StackTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\StackTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\Stack.java;60;3;1;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;SynchronizedQueueTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\SynchronizedQueueTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\concurrent\SynchronizedQueue.java;91;2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-pivot;SynchronizedStackTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\collections\test\SynchronizedStackTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\collections\concurrent\SynchronizedStack.java;91;2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-pivot;OptionTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\functional\monad\test\OptionTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\functional\monad\Option.java;296;12;45;9;0;0;0;0;0;4;6;0;0;0;0;1;0;0;8;3;0;0;7
test-smells-pivot;TryTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\functional\monad\test\TryTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\functional\monad\Try.java;343;12;58;11;0;0;0;0;0;4;5;0;0;0;0;4;0;0;6;9;0;0;7
test-smells-pivot;BindTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\json\test\BindTest.java;;282;15;13;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;JSONSerializerTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\json\test\JSONSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\json\JSONSerializer.java;185;10;16;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;0;1
test-smells-pivot;BinarySerializerTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\serialization\test\BinarySerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\serialization\BinarySerializer.java;57;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-pivot;ByteArraySerializerTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\serialization\test\ByteArraySerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\serialization\ByteArraySerializer.java;81;5;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;CSVSerializerTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\serialization\test\CSVSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\serialization\CSVSerializer.java;252;10;19;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4
test-smells-pivot;PropertiesSerializerTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\serialization\test\PropertiesSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\serialization\PropertiesSerializer.java;115;6;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;StringSerializerTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\serialization\test\StringSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\serialization\StringSerializer.java;138;7;5;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-pivot;SleepTask;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\concurrent\test\TaskTest.java;;129;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
test-smells-pivot;BooleanResultTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\test\BooleanResultTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\util\BooleanResult.java;83;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;CalendarDateTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\test\CalendarDateTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\util\CalendarDate.java;82;5;12;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-pivot;CharUtilsTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\test\CharUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\util\CharUtils.java;76;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-pivot;EmptyIteratorTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\test\EmptyIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\util\EmptyIterator.java;51;2;3;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-pivot;ImmutableIteratorTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\test\ImmutableIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\util\ImmutableIterator.java;66;1;15;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;1;0;0;0
test-smells-pivot;MIMETypeTest;C:\Users\crist\.jnose_projects\test-smells-pivot\core\test\org\apache\pivot\util\test\MIMETypeTest.java;C:\Users\crist\.jnose_projects\test-smells-pivot\core\src\org\apache\pivot\util\MIMEType.java;33;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
