App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-portals-pluto;ActionTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\ActionTest.java;;246;21;48;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;DestroyTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\DestroyTest.java;;96;9;10;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;EventFixupTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\EventFixupTest.java;;283;24;61;0;0;0;0;0;0;19;5;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;EventTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\EventTest.java;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\portlet-api\src\main\java\javax\portlet\Event.java;286;23;61;0;0;0;0;0;0;19;5;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-portals-pluto;HeaderTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\HeaderTest.java;;372;28;78;0;0;0;0;0;0;23;15;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;InitTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\InitTest.java;;96;9;10;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;InvokeActionTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\InvokeActionTest.java;;163;15;12;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;InvokeDestroyTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\InvokeDestroyTest.java;;109;9;6;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;InvokeEventTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\InvokeEventTest.java;;172;16;12;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;InvokeHeaderTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\InvokeHeaderTest.java;;388;27;32;0;0;0;0;0;0;19;5;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-portals-pluto;InvokeInitTest;C:\Users\crist\.jnose_projects\test-smells-portals-pluto\pluto-container\src\test\java\org\apache\pluto\container\bean\processor\tests\InvokeInitTest.java;;114;10;6;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
