App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-pulsar;EntryCacheManagerTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\EntryCacheManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\EntryCacheManager.java;272;8;72;3;0;0;0;0;0;72;2;0;0;0;0;3;0;0;17;0;0;0;4
test-smells-pulsar;EntryCacheTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\EntryCacheTest.java;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\EntryCache.java;262;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-pulsar;ManagedCursorConcurrencyTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedCursorConcurrencyTest.java;;437;8;3;0;0;0;0;0;0;0;17;0;0;0;0;6;0;0;0;6;0;0;0
test-smells-pulsar;MockManagedCursor;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedCursorContainerTest.java;;581;55;58;0;0;0;0;0;0;48;0;0;0;0;0;5;0;0;14;0;0;0;0
test-smells-pulsar;ManagedCursorListAckTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedCursorListAckTest.java;;75;2;10;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-pulsar;ManagedCursorPropertiesTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedCursorPropertiesTest.java;;164;4;11;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0
test-smells-pulsar;ManagedCursorTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedCursorTest.java;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedCursor.java;2850;97;237;0;0;0;0;4;0;170;25;0;0;0;0;30;0;0;62;14;0;0;0
test-smells-pulsar;ManagedLedgerBkTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerBkTest.java;;541;13;23;0;0;0;0;0;0;18;18;0;0;0;0;7;0;0;2;5;0;0;0
test-smells-pulsar;ManagedLedgerErrorsTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerErrorsTest.java;;528;20;14;0;0;0;0;0;0;10;0;0;0;0;0;3;0;0;6;19;0;0;0
test-smells-pulsar;ManagedLedgerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerFactory.java;74;1;12;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0
