App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ranger;RangerIpMatcherTest;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\conditionevaluator\RangerIpMatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\conditionevaluator\RangerIpMatcher.java;247;10;80;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1
test-smells-ranger;RangerTimeOfDayMatcherTest;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\conditionevaluator\RangerTimeOfDayMatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\conditionevaluator\RangerTimeOfDayMatcher.java;269;11;1;2;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;4
test-smells-ranger;TestTagEnricher;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\contextenricher\TestTagEnricher.java;;158;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ranger;TestValidationErrorCode;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\errors\TestValidationErrorCode.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\errors\ValidationErrorCode.java;88;3;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ranger;TestRangerPolicy;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\TestRangerPolicy.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\model\RangerPolicy.java;137;6;0;4;0;0;0;0;0;20;0;0;0;0;0;1;0;0;0;0;0;0;4
test-smells-ranger;TestRangerPolicyResourceSignature;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\TestRangerPolicyResourceSignature.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\model\RangerPolicyResourceSignature.java;250;18;7;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4
test-smells-ranger;RangerSecurityZoneValidatorTest;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\validation\RangerSecurityZoneValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\model\validation\RangerSecurityZoneValidator.java;468;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1
test-smells-ranger;TestDirectedGraph;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\validation\TestDirectedGraph.java;;77;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-ranger;RangerPolicyValidatorWrapper;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\validation\TestRangerPolicyValidator.java;;816;3;44;0;0;0;0;0;0;0;29;0;4;0;0;4;0;0;12;0;0;0;0
test-smells-ranger;TestRangerServiceDefHelper;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\validation\TestRangerServiceDefHelper.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\model\validation\RangerServiceDefHelper.java;347;14;10;7;0;0;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;0;5
test-smells-ranger;TestRangerServiceDefValidator;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\test\java\org\apache\ranger\plugin\model\validation\TestRangerServiceDefValidator.java;C:\Users\crist\.jnose_projects\test-smells-ranger\agents-common\src\main\java\org\apache\ranger\plugin\model\validation\RangerServiceDefValidator.java;597;36;55;0;0;0;0;0;0;0;3;0;4;0;0;3;0;0;15;0;0;0;1
