App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-reef;DefaultVortexMasterTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-applications\reef-vortex\src\test\java\org\apache\reef\vortex\driver\DefaultVortexMasterTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-applications\reef-vortex\src\main\java\org\apache\reef\vortex\driver\DefaultVortexMaster.java;304;11;1;4;0;0;0;0;0;0;9;0;0;0;0;4;0;0;0;1;0;0;5
test-smells-reef;RunningWorkersTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-applications\reef-vortex\src\test\java\org\apache\reef\vortex\driver\RunningWorkersTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-applications\reef-vortex\src\main\java\org\apache\reef\vortex\driver\RunningWorkers.java;79;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reef;SchedulingPolicyTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-applications\reef-vortex\src\test\java\org\apache\reef\vortex\driver\SchedulingPolicyTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-applications\reef-vortex\src\main\java\org\apache\reef\vortex\driver\SchedulingPolicy.java;120;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reef;TestAvroJobSubmissionParametersSerializationFromCS;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-bridge-client\src\test\java\org\apache\reef\bridge\client\TestAvroJobSubmissionParametersSerializationFromCS.java;;453;27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-reef;TestDriverStatusHTTPHandler;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-bridge-client\src\test\java\org\apache\reef\bridge\client\TestDriverStatusHTTPHandler.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-bridge-proto-java\src\main\java\org\apache\reef\bridge\driver\service\DriverStatusHTTPHandler.java;128;8;2;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-reef;JVMProcessTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\driver\evaluator\JVMProcessTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\main\java\org\apache\reef\driver\evaluator\JVMProcess.java;50;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-reef;CatalogTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\runtime\common\driver\catalog\CatalogTest.java;;51;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reef;EvaluatorRequestorImplTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\runtime\common\driver\EvaluatorRequestorImplTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\main\java\org\apache\reef\runtime\common\driver\EvaluatorRequestorImpl.java;118;8;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-reef;JavaLaunchCommandBuilderTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\runtime\common\launch\JavaLaunchCommandBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\main\java\org\apache\reef\runtime\common\launch\JavaLaunchCommandBuilder.java;174;13;20;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
test-smells-reef;CollectionUtilsTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\util\CollectionUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\main\java\org\apache\reef\util\CollectionUtils.java;53;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-reef;DeadlockInfoWithDeadlockAbsentTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\util\DeadlockInfoWithDeadlockAbsentTest.java;;143;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reef;DeadlockInfoWithDeadlockPresentTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\util\DeadlockInfoWithDeadlockPresentTest.java;;176;13;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reef;LoggingScopeTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\util\LoggingScopeTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\main\java\org\apache\reef\util\logging\LoggingScope.java;96;6;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;4;0;0;0
test-smells-reef;OSUtilsTest;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\util\OSUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\main\java\org\apache\reef\util\OSUtils.java;37;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-reef;GlobalB;C:\Users\crist\.jnose_projects\test-smells-reef\lang\java\reef-common\src\test\java\org\apache\reef\util\SingletonAsserterTest.java;;66;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
