App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-royale-compiler;ASDateTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\as\ASDateTests.java;;440;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;ASExpressionTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\as\ASExpressionTests.java;;96;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;ASInheritanceTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\as\ASInheritanceTests.java;;145;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;ASKeywordTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\as\ASKeywordTests.java;;361;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;ASNamespaceTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\as\ASNamespaceTests.java;;174;3;0;0;0;0;0;0;0;0;7;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-royale-compiler;ASVariableTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\as\ASVariableTests.java;;353;12;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-royale-compiler;SDKSWCTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\f\SDKSWCTests.java;;392;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLArrayTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLArrayTagTests.java;;176;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLBooleanTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLBooleanTagTests.java;;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLClassTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLClassTagTests.java;;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLComponentTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLComponentTagTests.java;;74;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLDefinitionTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLDefinitionTagTests.java;;119;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLHTTPServiceTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLHTTPServiceTagTests.java;;76;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLInstanceTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLInstanceTagTests.java;;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLIntTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLIntTagTests.java;;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLMetadataTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLMetadataTagTests.java;;164;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLModelTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLModelTagTests.java;;161;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLNumberTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLNumberTagTests.java;;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLObjectTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLObjectTagTests.java;;293;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLRemoteObjectTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLRemoteObjectTagTests.java;;73;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLStringTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLStringTagTests.java;;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLUintTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLUintTagTests.java;;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLVectorTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLVectorTagTests.java;;210;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLWebServiceTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLWebServiceTagTests.java;;74;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLXMLListTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLXMLListTagTests.java;;156;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;MXMLXMLTagTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\mxml\tags\MXMLXMLTagTests.java;;182;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;CSSArrayPropertyValueTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\org\apache\royale\compiler\internal\css\CSSArrayPropertyValueTests.java;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\main\java\org\apache\royale\compiler\internal\css\CSSArrayPropertyValue.java;92;3;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-royale-compiler;CSSBaseTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\org\apache\royale\compiler\internal\css\CSSBaseTests.java;;96;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-royale-compiler;CSSColorPropertyValueTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\org\apache\royale\compiler\internal\css\CSSColorPropertyValueTests.java;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\main\java\org\apache\royale\compiler\internal\css\CSSColorPropertyValue.java;130;8;0;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-royale-compiler;CSSCombinatorTests;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\test\java\org\apache\royale\compiler\internal\css\CSSCombinatorTests.java;C:\Users\crist\.jnose_projects\test-smells-royale-compiler\compiler\src\main\java\org\apache\royale\compiler\internal\css\CSSCombinator.java;107;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
