App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-sis;AboutCommandTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\test\java\org\apache\sis\console\AboutCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\main\java\org\apache\sis\console\AboutCommand.java;109;5;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-sis;Dummy;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\test\java\org\apache\sis\console\CommandRunnerTest.java;;189;2;8;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;2;0;0;0
test-smells-sis;CRSCommandTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\test\java\org\apache\sis\console\CRSCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\main\java\org\apache\sis\console\CRSCommand.java;93;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-sis;HelpCommandTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\test\java\org\apache\sis\console\HelpCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\main\java\org\apache\sis\console\HelpCommand.java;107;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-sis;MetadataCommandTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\test\java\org\apache\sis\console\MetadataCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\main\java\org\apache\sis\console\MetadataCommand.java;78;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sis;MimeTypeCommandTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\test\java\org\apache\sis\console\MimeTypeCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-console\src\main\java\org\apache\sis\console\MimeTypeCommand.java;67;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-sis;ReferencingFunctionsTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-openoffice\src\test\java\org\apache\sis\openoffice\ReferencingFunctionsTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-openoffice\src\main\java\org\apache\sis\openoffice\ReferencingFunctions.java;230;16;5;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sis;TransformerTest;C:\Users\crist\.jnose_projects\test-smells-sis\application\sis-openoffice\src\test\java\org\apache\sis\openoffice\TransformerTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-metadata\src\main\java\org\apache\sis\xml\Transformer.java;129;6;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-sis;ResourceCompilerMojoTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-build-helper\src\test\java\org\apache\sis\util\resources\ResourceCompilerMojoTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-build-helper\src\main\java\org\apache\sis\util\resources\ResourceCompilerMojo.java;52;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-sis;AbstractOperationTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\AbstractOperationTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\AbstractOperation.java;67;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sis;AssociationRoleBuilderTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\builder\AssociationRoleBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\builder\AssociationRoleBuilder.java;60;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sis;AttributeTypeBuilderTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\builder\AttributeTypeBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\builder\AttributeTypeBuilder.java;243;7;18;6;0;0;0;0;0;17;0;0;0;0;0;1;0;0;4;2;0;0;10
test-smells-sis;CharacteristicTypeBuilderTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\builder\CharacteristicTypeBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\builder\CharacteristicTypeBuilder.java;90;1;5;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-sis;FeatureTypeBuilderTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\builder\FeatureTypeBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\builder\FeatureTypeBuilder.java;395;15;6;14;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;1;0;0;11
test-smells-sis;CharacteristicMapTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\CharacteristicMapTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\CharacteristicMap.java;334;9;2;3;0;0;0;0;0;12;0;0;0;0;0;3;0;0;27;4;0;0;3
test-smells-sis;CharacteristicTypeMapTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\CharacteristicTypeMapTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\CharacteristicTypeMap.java;130;5;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-sis;DefaultAssociationRoleTest;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\test\java\org\apache\sis\feature\DefaultAssociationRoleTest.java;C:\Users\crist\.jnose_projects\test-smells-sis\core\sis-feature\src\main\java\org\apache\sis\feature\DefaultAssociationRole.java;203;8;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
