App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-struts1;TestMockBase;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\mock\TestMockBase.java;;388;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts1;TestActionMessage;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\action\TestActionMessage.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\action\ActionMessage.java;201;22;45;8;0;0;0;0;0;5;1;0;8;0;0;0;0;0;0;0;0;0;4
test-smells-struts1;TestActionMessages;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\action\TestActionMessages.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\action\ActionMessages.java;175;20;4;5;0;0;0;2;0;6;3;0;7;0;0;1;0;0;0;0;0;0;4
test-smells-struts1;TestActionRedirect;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\action\TestActionRedirect.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\action\ActionRedirect.java;199;10;0;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-struts1;CustomActionConfigArg;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\action\TestActionServlet.java;;1163;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;17;0;0;0
test-smells-struts1;DynaActionFormConfig;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\action\TestDynaActionForm.java;;796;3;0;0;0;0;0;10;0;12;7;0;3;0;0;2;0;0;1;4;0;0;0
test-smells-struts1;TestDynaActionFormClass;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\action\TestDynaActionFormClass.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\action\DynaActionFormClass.java;267;15;0;1;0;0;0;0;0;3;2;0;2;0;0;0;0;0;0;3;0;0;1
test-smells-struts1;TestCopyFormToContext;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\chain\commands\generic\TestCopyFormToContext.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\chain\commands\generic\CopyFormToContext.java;243;10;33;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;4
test-smells-struts1;TestWrappingLookupCommand;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\chain\commands\generic\TestWrappingLookupCommand.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\chain\commands\generic\WrappingLookupCommand.java;74;6;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-struts1;TestAuthorizeAction;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\chain\commands\servlet\TestAuthorizeAction.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\chain\commands\servlet\AuthorizeAction.java;146;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-struts1;TestPerformForward;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\chain\commands\servlet\TestPerformForward.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\chain\commands\servlet\PerformForward.java;96;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts1;TestSetOriginalURI;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\chain\commands\servlet\TestSetOriginalURI.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\chain\commands\servlet\SetOriginalURI.java;86;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-struts1;CustomActionConfig;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\config\TestActionConfig.java;;374;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;1;0;0;0
test-smells-struts1;TestActionConfigMatcher;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\config\TestActionConfigMatcher.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\config\ActionConfigMatcher.java;296;15;0;9;0;0;0;0;0;3;2;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-struts1;CustomFormBeanConfig;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\config\TestFormBeanConfig.java;;340;2;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0
test-smells-struts1;TestFormPropertyConfig;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\config\TestFormPropertyConfig.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\config\FormPropertyConfig.java;132;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-struts1;TestForwardConfig;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\test\java\org\apache\struts\config\TestForwardConfig.java;C:\Users\crist\.jnose_projects\test-smells-struts1\core\src\main\java\org\apache\struts\config\ForwardConfig.java;440;24;0;8;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;8
