App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-syncope;ValidationTest;C:\Users\crist\.jnose_projects\test-smells-syncope\client\enduser\src\test\java\org\apache\syncope\client\enduser\util\ValidationTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\client\enduser\src\main\java\org\apache\syncope\client\enduser\util\Validation.java;97;2;14;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-syncope;ConcurrencyTest;C:\Users\crist\.jnose_projects\test-smells-syncope\client\idrepo\lib\src\test\java\org\apache\syncope\client\lib\ConcurrencyTest.java;;74;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-syncope;JAXBTest;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idm\lib\src\test\java\org\apache\syncope\common\lib\JAXBTest.java;;64;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;JSONTest;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idm\lib\src\test\java\org\apache\syncope\common\lib\JSONTest.java;;62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;AnyOperationsTest;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idrepo\lib\src\test\java\org\apache\syncope\common\lib\AnyOperationsTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idrepo\lib\src\main\java\org\apache\syncope\common\lib\AnyOperations.java;50;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;JAXBTest;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idrepo\lib\src\test\java\org\apache\syncope\common\lib\JAXBTest.java;;88;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-syncope;JSONTest;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idrepo\lib\src\test\java\org\apache\syncope\common\lib\JSONTest.java;;75;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;SyncopeFiqlParserTest;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idrepo\lib\src\test\java\org\apache\syncope\common\lib\search\SyncopeFiqlParserTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\common\idrepo\lib\src\main\java\org\apache\syncope\common\lib\search\SyncopeFiqlParser.java;69;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;SearchCondConverterTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\test\java\org\apache\syncope\core\persistence\api\search\SearchCondConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\ext\scimv2\logic\src\main\java\org\apache\syncope\core\logic\scim\SearchCondConverter.java;332;21;22;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-syncope;AnyMatchTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\AnyMatchTest.java;;131;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-syncope;AnyObjectTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\AnyObjectTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\anyobject\AnyObject.java;74;6;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;AnySearchTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\AnySearchTest.java;;743;37;81;0;0;0;0;0;0;30;0;0;0;0;0;3;0;0;6;0;0;0;0
test-smells-syncope;AnyTypeClassTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\AnyTypeClassTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\AnyTypeClass.java;81;6;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-syncope;AnyTypeTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\AnyTypeTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\AnyType.java;121;9;12;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-syncope;ApplicationTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\ApplicationTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\Application.java;116;4;13;0;0;0;0;3;0;5;0;0;0;0;0;1;0;0;2;0;0;0;1
test-smells-syncope;ConfTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\ConfTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\conf\Conf.java;123;6;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0
test-smells-syncope;ConnInstanceTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\ConnInstanceTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\ConnInstance.java;169;5;13;1;1;0;0;3;0;2;0;0;0;0;0;1;0;1;0;2;0;0;3
test-smells-syncope;DerSchemaTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\DerSchemaTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\DerSchema.java;106;7;4;1;0;0;0;4;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1
test-smells-syncope;DomainTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\DomainTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\Domain.java;91;5;8;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-syncope;GroupTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\GroupTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\ext\scimv2\scim-rest-api\src\main\java\org\apache\syncope\ext\scimv2\api\data\Group.java;85;7;3;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-syncope;ImplementationTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\ImplementationTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\Implementation.java;88;3;11;0;0;0;0;1;0;10;0;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-syncope;MailTemplateTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\MailTemplateTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\MailTemplate.java;77;5;8;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-syncope;MultitenancyTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\MultitenancyTest.java;;104;8;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-syncope;NotificationTest;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-jpa\src\test\java\org\apache\syncope\core\persistence\jpa\inner\NotificationTest.java;C:\Users\crist\.jnose_projects\test-smells-syncope\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\Notification.java;149;9;12;3;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
