App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-tajo;TestExpr;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-algebra\src\test\java\org\apache\tajo\algebra\TestExpr.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-algebra\src\main\java\org\apache\tajo\algebra\Expr.java;188;6;6;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2
test-smells-tajo;TestColumnStat;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\statistics\TestColumnStat.java;;82;4;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;TestStatisticsUtil;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\statistics\TestStatisticsUtil.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\statistics\StatisticsUtil.java;68;2;4;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;TestStatSet;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\statistics\TestStatSet.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\statistics\StatSet.java;67;1;14;1;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-tajo;TestTableStat;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\statistics\TestTableStat.java;;134;3;6;0;0;0;0;0;0;6;5;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-tajo;TestCatalogUtil;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestCatalogUtil.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\CatalogUtil.java;89;6;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;TestColumn;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestColumn.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\Column.java;110;17;12;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;7
test-smells-tajo;TestSum;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestFunctionDesc.java;;105;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;TestIndexDesc;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestIndexDesc.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\IndexDesc.java;112;10;22;2;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;TestKeyValueSet;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestKeyValueSet.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-common\src\main\java\org\apache\tajo\util\KeyValueSet.java;120;7;15;7;0;0;0;0;4;9;0;0;0;0;0;0;0;0;2;2;0;0;4
test-smells-tajo;TestSchema;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestSchema.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-common\src\main\java\org\apache\tajo\schema\Schema.java;319;25;29;4;0;0;0;0;0;11;0;0;4;0;0;1;0;0;3;0;0;0;3
test-smells-tajo;TestTableDesc;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestTableDesc.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\TableDesc.java;124;12;2;3;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;3
test-smells-tajo;TestTableMeta;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\test\java\org\apache\tajo\catalog\TestTableMeta.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-common\src\main\java\org\apache\tajo\catalog\TableMeta.java;116;11;3;5;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;5
test-smells-tajo;TestHiveCatalogStore;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-drivers\tajo-hive\src\test\java\org\apache\tajo\catalog\store\TestHiveCatalogStore.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-drivers\tajo-hive\src\main\java\org\apache\tajo\catalog\store\HiveCatalogStore.java;865;29;111;14;0;0;0;1;0;4;24;0;2;0;0;12;0;0;10;0;0;0;8
test-smells-tajo;CollectionMatcher;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-server\src\test\java\org\apache\tajo\catalog\store\TestXMLCatalogSchemaManager.java;;495;4;36;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;2;0;0;0;0
test-smells-tajo;TestCatalog;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-server\src\test\java\org\apache\tajo\catalog\TestCatalog.java;;1175;60;124;0;0;0;0;1;0;10;7;0;2;0;0;12;0;0;18;1;0;0;0
test-smells-tajo;TestCatalogAgainstCaseSensitivity;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-server\src\test\java\org\apache\tajo\catalog\TestCatalogAgainstCaseSensitivity.java;;505;12;65;0;0;0;0;0;0;6;13;0;0;0;0;5;0;0;11;2;0;0;0
test-smells-tajo;TestCatalogExceptions;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-server\src\test\java\org\apache\tajo\catalog\TestCatalogExceptions.java;;305;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;MockupMetadataProvider2;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-catalog\tajo-catalog-server\src\test\java\org\apache\tajo\catalog\TestLinkedMetadataManager.java;;241;6;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-tajo;TestIPv4;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-common\src\test\java\org\apache\tajo\common\type\TestIPv4.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-common\src\main\java\org\apache\tajo\common\type\IPv4.java;80;5;9;4;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tajo;TestTimeRange;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-common\src\test\java\org\apache\tajo\common\type\TestTimeRange.java;C:\Users\crist\.jnose_projects\test-smells-tajo\tajo-common\src\main\java\org\apache\tajo\common\type\TimeRange.java;57;6;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
