App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-tapestry-5;AbstractBeanModelSourceImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\genericsresolver-guava\src\test\java\org\apache\tapestry5\internal\genericsresolverguava\AbstractBeanModelSourceImplTest.java;;893;47;44;0;0;0;0;1;0;3;0;0;0;0;0;2;0;0;0;4;0;0;0
test-smells-tapestry-5;TapestryBeanValidationIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-beanvalidator\src\test\java\org\apache\tapestry5\beanvalidator\integration\TapestryBeanValidationIntegrationTests.java;;355;11;13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0
test-smells-tapestry-5;InjectTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-cdi\src\test\java\org\apache\tapestry5\cdi\test\InjectTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry5-annotations\src\main\java\org\apache\tapestry5\ioc\annotations\Inject.java;439;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;AbstractLinkTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\base\AbstractLinkTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\base\AbstractLink.java;90;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;AbstractPropertyOutputTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\base\AbstractPropertyOutputTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\base\AbstractPropertyOutput.java;63;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-tapestry-5;AnyTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\AnyTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Any.java;114;3;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;4
test-smells-tapestry-5;BeanEditorTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\BeanEditorTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\BeanEditor.java;268;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0
test-smells-tapestry-5;FormTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\FormTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Form.java;62;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tapestry-5;HiddenTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\HiddenTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Hidden.java;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tapestry-5;LoopTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\LoopTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Loop.java;92;3;10;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-tapestry-5;OutputRawTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\OutputRawTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\OutputRaw.java;72;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tapestry-5;OutputTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\OutputTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Output.java;194;10;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-tapestry-5;PropertyEditorTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\PropertyEditorTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\PropertyEditor.java;83;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-tapestry-5;SelectTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\SelectTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Select.java;734;23;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0
test-smells-tapestry-5;SubmitTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\SubmitTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Submit.java;168;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-tapestry-5;TextOutputTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\components\TextOutputTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\TextOutput.java;55;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-tapestry-5;FormSupportImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\corelib\internal\FormSupportImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\internal\FormSupportImpl.java;148;7;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5
test-smells-tapestry-5;DOMTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\dom\DOMTest.java;;980;57;34;0;0;0;0;17;0;1;4;0;0;0;0;0;0;0;3;1;0;0;0
test-smells-tapestry-5;ActivationContextIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\activationctx\ActivationContextIntegrationTests.java;;110;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;ActivationContextIntegrationTests2;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\activationctx2\ActivationContextIntegrationTests2.java;;64;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;AjaxTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\AjaxTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\services\Ajax.java;336;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;AssetTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\AssetTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\Asset.java;82;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;BeanEditorTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\BeanEditorTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\BeanEditor.java;248;12;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-tapestry-5;CacheTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\CacheTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\plastic\src\main\java\org\apache\tapestry5\internal\plastic\Cache.java;69;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;CoreBehaviorsTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\CoreBehaviorsTests.java;;1813;115;0;0;0;0;0;0;3;15;4;0;0;0;0;3;0;0;31;0;0;0;0
test-smells-tapestry-5;FailureTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\FailureTests.java;;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;FormTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\FormTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Form.java;1317;58;3;0;0;0;0;0;0;2;4;0;0;0;0;8;0;0;15;0;0;0;0
test-smells-tapestry-5;GeneralComponentTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\GeneralComponentTests.java;;112;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-tapestry-5;GridTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\GridTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Grid.java;446;24;0;0;0;0;0;0;0;20;4;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-tapestry-5;LoopTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\LoopTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Loop.java;110;6;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-tapestry-5;MixinTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\MixinTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\annotations\Mixin.java;119;5;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-tapestry-5;PaletteTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\PaletteTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Palette.java;134;9;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-tapestry-5;RequestParameterTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\RequestParameterTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\annotations\RequestParameter.java;77;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;ZoneRefreshTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\ZoneRefreshTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\mixins\ZoneRefresh.java;88;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-tapestry-5;ZoneTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app1\ZoneTests.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Zone.java;346;15;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;1;0;0;0;0
test-smells-tapestry-5;AdditionalIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app3\AdditionalIntegrationTests.java;;128;6;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;CutomAppPackageIntegrationTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\app6\CutomAppPackageIntegrationTests.java;;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;ClusterTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\cluster\ClusterTests.java;;244;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;LinkTransformerIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\linktrans\LinkTransformerIntegrationTest.java;;51;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-tapestry-5;ActionLinkTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\ActionLinkTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\ActionLink.java;48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;ASOTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\ASOTest.java;;44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;AssetTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\AssetTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\Asset.java;45;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;DTDTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\DTDTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\dom\DTD.java;92;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;FormTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\FormTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Form.java;52;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;HeadTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\HeadTest.java;;44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;IfTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\IfTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\If.java;52;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;LocaleTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\LocaleTest.java;;76;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;LoopTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\LoopTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Loop.java;45;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;OverrideMethodsTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\OverrideMethodsTest.java;;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tapestry-5;SubmitTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\SubmitTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Submit.java;108;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tapestry-5;TemplateInContextTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\TemplateInContextTest.java;;44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;UnlessTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagelevel\UnlessTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\corelib\components\Unless.java;51;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;PageTesterTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\pagetester\PageTesterTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\test\PageTester.java;88;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;ReloadTests;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\integration\reload\ReloadTests.java;;159;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;BeanModelUtilsTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\beaneditor\BeanModelUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\beanmodel\src\main\java\org\apache\tapestry5\internal\beaneditor\BeanModelUtils.java;161;10;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-tapestry-5;MessagesAnnotationConstraintGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\beaneditor\MessagesAnnotationConstraintGeneratorTest.java;;107;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;ValidateAnnotationConstraintGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\beaneditor\ValidateAnnotationConstraintGeneratorTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\beaneditor\ValidateAnnotationConstraintGenerator.java;104;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tapestry-5;BindingFactoryTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\bindings\BindingFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\services\BindingFactory.java;109;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-tapestry-5;PropBindingFactoryTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\bindings\PropBindingFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\bindings\PropBindingFactory.java;565;25;20;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;10;0;0;1
test-smells-tapestry-5;ValidateBindingFactoryTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\bindings\ValidateBindingFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\bindings\ValidateBindingFactory.java;93;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
test-smells-tapestry-5;ContextResourceSymbolProviderTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\ContextResourceSymbolProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\ContextResourceSymbolProvider.java;66;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-tapestry-5;CollectionGridDataSourceTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\grid\CollectionGridDataSourceTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\grid\CollectionGridDataSource.java;123;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;MutableComponentModelImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\model\MutableComponentModelImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\model\MutableComponentModelImpl.java;870;40;41;38;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;18
test-smells-tapestry-5;OptionGroupModelImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\OptionGroupModelImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\OptionGroupModelImpl.java;66;3;5;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tapestry-5;OptionModelImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\OptionModelImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\OptionModelImpl.java;38;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;CompositeRenderCommandTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\pageload\CompositeRenderCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\pageload\CompositeRenderCommand.java;86;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tapestry-5;PropertyOverridesImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\PropertyOverridesImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\PropertyOverridesImpl.java;68;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tapestry-5;ResponseImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\ResponseImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\services\ResponseImpl.java;53;1;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tapestry-5;AbstractBeanModelSourceImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\services\AbstractBeanModelSourceImplTest.java;;806;40;44;0;0;0;0;1;0;3;0;0;0;0;0;2;0;0;0;4;0;0;0
test-smells-tapestry-5;AjaxComponentInstanceEventResultProcessorTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\services\AjaxComponentInstanceEventResultProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\services\AjaxComponentInstanceEventResultProcessor.java;90;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-tapestry-5;AnnotationDataTypeAnalyzerTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\services\AnnotationDataTypeAnalyzerTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\commons\src\main\java\org\apache\tapestry5\internal\services\AnnotationDataTypeAnalyzer.java;67;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-tapestry-5;ApplicationStateManagerImplTest;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\test\java\org\apache\tapestry5\internal\services\ApplicationStateManagerImplTest.java;C:\Users\crist\.jnose_projects\test-smells-tapestry-5\tapestry-core\src\main\java\org\apache\tapestry5\internal\services\ApplicationStateManagerImpl.java;236;7;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4
