App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-tika;TikaCLIBatchCommandLineTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-app\src\test\java\org\apache\tika\cli\TikaCLIBatchCommandLineTest.java;;208;13;17;0;0;0;0;0;0;4;2;0;3;0;0;0;0;0;2;1;0;0;0
test-smells-tika;TikaCLIBatchIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-app\src\test\java\org\apache\tika\cli\TikaCLIBatchIntegrationTest.java;;211;16;5;0;0;0;0;0;0;3;0;0;3;0;0;1;0;0;0;3;0;0;0
test-smells-tika;TikaCLITest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-app\src\test\java\org\apache\tika\cli\TikaCLITest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-app\src\main\java\org\apache\tika\cli\TikaCLI.java;566;42;21;0;4;0;0;6;0;4;7;0;3;0;0;0;0;4;3;4;0;0;1
test-smells-tika;TestEmbeddedDocumentUtil;C:\Users\crist\.jnose_projects\test-smells-tika\tika-app\src\test\java\org\apache\tika\extractor\TestEmbeddedDocumentUtil.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\main\java\org\apache\tika\extractor\EmbeddedDocumentUtil.java;58;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-tika;CommandLineParserBuilderTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\CommandLineParserBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\main\java\org\apache\tika\batch\builders\CommandLineParserBuilder.java;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tika;BatchDriverTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\BatchDriverTest.java;;252;11;17;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tika;BatchProcessTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\BatchProcessTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\main\java\org\apache\tika\batch\BatchProcess.java;412;16;10;0;0;0;0;0;0;16;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tika;FSFileResourceTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\FSFileResourceTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\main\java\org\apache\tika\batch\fs\FSFileResource.java;49;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tika;FSUtilTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\FSUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\main\java\org\apache\tika\batch\fs\FSUtil.java;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-tika;HandlerBuilderTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\HandlerBuilderTest.java;;116;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tika;OutputStreamFactoryTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\OutputStreamFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\main\java\org\apache\tika\batch\OutputStreamFactory.java;101;2;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;0
test-smells-tika;StrawmanTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\fs\strawman\StrawmanTest.java;;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tika;RecursiveParserWrapperFSConsumerTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\test\java\org\apache\tika\batch\RecursiveParserWrapperFSConsumerTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-batch\src\main\java\org\apache\tika\batch\fs\RecursiveParserWrapperFSConsumer.java;153;3;4;2;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;4
test-smells-tika;AbstractTikaConfigTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\test\java\org\apache\tika\config\AbstractTikaConfigTest.java;;50;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tika;ParamTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\test\java\org\apache\tika\config\ParamTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\main\java\org\apache\tika\config\Param.java;71;1;6;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
test-smells-tika;TikaConfigSerializerTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\test\java\org\apache\tika\config\TikaConfigSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\main\java\org\apache\tika\config\TikaConfigSerializer.java;69;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tika;TikaConfigTest;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\test\java\org\apache\tika\config\TikaConfigTest.java;C:\Users\crist\.jnose_projects\test-smells-tika\tika-core\src\main\java\org\apache\tika\config\TikaConfig.java;352;18;24;4;0;0;0;0;0;12;0;0;0;0;0;2;0;0;2;7;0;0;2
