App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-tomcat;ShouldForceReconnectTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\pool\ShouldForceReconnectTest.java;;140;11;30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0
test-smells-tomcat;AbandonPercentageTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\AbandonPercentageTest.java;;117;4;0;0;0;0;0;0;0;10;3;0;0;0;0;1;0;0;3;3;0;0;0
test-smells-tomcat;AlternateUsernameTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\AlternateUsernameTest.java;;151;7;0;0;0;0;0;3;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-tomcat;BorrowWaitTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\BorrowWaitTest.java;;71;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tomcat;CheckOutThreadTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\CheckOutThreadTest.java;;409;14;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomcat;ConnectCountTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\ConnectCountTest.java;;282;13;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomcat;DefaultTestCase;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\DefaultTestCase.java;;268;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomcat;EqualsHashCodeTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\EqualsHashCodeTest.java;;74;5;9;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;4;0;0;0;0
test-smells-tomcat;FairnessTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\FairnessTest.java;;264;11;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomcat;JmxPasswordTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\JmxPasswordTest.java;;70;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomcat;MultipleCloseTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\MultipleCloseTest.java;;71;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-tomcat;PoolCleanerTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\PoolCleanerTest.java;;138;6;5;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;4;0;0;0;0
test-smells-tomcat;PoolPurgeTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\PoolPurgeTest.java;;86;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-tomcat;StarvationTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\StarvationTest.java;;110;3;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-tomcat;StatementFinalizerTest;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\StatementFinalizerTest.java;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\main\java\org\apache\tomcat\jdbc\pool\interceptor\StatementFinalizer.java;56;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomcat;TestAsyncQueue;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\TestAsyncQueue.java;;92;6;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-tomcat;TestConcurrency;C:\Users\crist\.jnose_projects\test-smells-tomcat\modules\jdbc-pool\src\test\java\org\apache\tomcat\jdbc\test\TestConcurrency.java;;216;7;0;0;0;0;0;0;0;15;13;0;0;0;0;3;0;0;0;3;0;0;0
