App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-tomee;AdapterArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\AdapterArquillianStandaloneTest.java;;43;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;ArquillianAndMockitoTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\ArquillianAndMockitoTest.java;;66;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;ArquillianResourceURLTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\ArquillianResourceURLTest.java;;50;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;BindingInJavaGlobalTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\BindingInJavaGlobalTest.java;;66;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;CDIArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\CDIArquillianStandaloneTest.java;;67;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;EJBArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\EJBArquillianStandaloneTest.java;;51;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;EnvEntriesArquillianStandaloneTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\EnvEntriesArquillianStandaloneTest.java;;48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;ExceptionInjectionTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\ExceptionInjectionTest.java;;64;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;JPAArquillianAdapterTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\JPAArquillianAdapterTest.java;;107;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;LifecycleTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\LifecycleTest.java;C:\Users\crist\.jnose_projects\test-smells-tomee\container\openejb-jee\src\main\java\org\apache\openejb\jee\Lifecycle.java;112;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tomee;MethodParameterEnrichmentTest;C:\Users\crist\.jnose_projects\test-smells-tomee\arquillian\arquillian-openejb-embedded\src\test\java\org\apache\openejb\arquillian\openejb\MethodParameterEnrichmentTest.java;;47;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
