App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-uima-uimafit;DefaultPackageAETest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\DefaultPackageAETest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\DefaultPackageAE.java;56;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;CasDumpWriterTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\component\CasDumpWriterTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\component\CasDumpWriter.java;59;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-uima-uimafit;CasMultiplierTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\component\CasMultiplierTest.java;;208;7;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;ConfigurationParameterInitializerTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\component\initialize\ConfigurationParameterInitializerTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\component\initialize\ConfigurationParameterInitializer.java;511;18;115;0;1;0;0;0;0;59;0;0;0;0;0;1;0;1;10;5;0;0;0
test-smells-uima-uimafit;JCasCollectionReader_ImplBaseTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\component\JCasCollectionReader_ImplBaseTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\component\JCasCollectionReader_ImplBase.java;88;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-uima-uimafit;ViewCreatorAnnotatorTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\component\ViewCreatorAnnotatorTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\component\ViewCreatorAnnotator.java;177;7;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;3
test-smells-uima-uimafit;ViewTextCopierAnnotatorTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\component\ViewTextCopierAnnotatorTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\component\ViewTextCopierAnnotator.java;92;2;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
test-smells-uima-uimafit;TypeCapabilityTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\descriptor\TypeCapabilityTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\descriptor\TypeCapability.java;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;AggregateBuilderTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\AggregateBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\factory\AggregateBuilder.java;209;6;19;6;1;0;0;0;0;0;0;0;0;0;0;2;0;1;6;0;0;0;5
test-smells-uima-uimafit;AggregateWithReaderTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\AggregateWithReaderTest.java;;198;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-uima-uimafit;AnalysisEngineFactoryExternalResourceTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\AnalysisEngineFactoryExternalResourceTest.java;;451;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;AnalysisEngineFactoryTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\AnalysisEngineFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\factory\AnalysisEngineFactory.java;565;22;27;3;2;0;0;1;0;7;4;0;0;0;0;5;0;2;2;1;0;0;12
test-smells-uima-uimafit;AnnotationFactoryTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\AnnotationFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\factory\AnnotationFactory.java;40;1;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;CollectionReaderFactoryExternalResourceTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\CollectionReaderFactoryExternalResourceTest.java;;91;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;CollectionReaderFactoryTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\CollectionReaderFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\factory\CollectionReaderFactory.java;145;4;18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;2
test-smells-uima-uimafit;ConfigurationParameterFactoryTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\ConfigurationParameterFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\factory\ConfigurationParameterFactory.java;213;25;30;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;4
test-smells-uima-uimafit;ExternalResourceConfiguratorTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\ExternalResourceConfiguratorTest.java;;85;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimafit;ExternalResourceFactoryTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\test\java\org\apache\uima\fit\factory\ExternalResourceFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimafit\uimafit-core\src\main\java\org\apache\uima\fit\factory\ExternalResourceFactory.java;681;28;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13
