App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-uima-uimaj;JCasGenMojoTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\jcasgen-maven-plugin\src\test\java\org\apache\uima\tools\jcasgen\maven\JCasGenMojoTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\jcasgen-maven-plugin\src\main\java\org\apache\uima\tools\jcasgen\maven\JCasGenMojo.java;130;6;8;0;1;0;0;5;0;0;3;0;0;0;0;1;0;1;0;1;0;0;0
test-smells-uima-uimaj;VinciAnalysisEngineServiceAdapterTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-adapter-vinci\src\test\java\org\apache\uima\adapter\vinci\VinciAnalysisEngineServiceAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-adapter-vinci\src\main\java\org\apache\uima\adapter\vinci\VinciAnalysisEngineServiceAdapter.java;83;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0
test-smells-uima-uimaj;AnalysisEngineDescription_implTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\AnalysisEngineDescription_implTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\main\java\org\apache\uima\analysis_engine\impl\AnalysisEngineDescription_impl.java;663;18;24;2;3;0;0;0;2;4;1;0;0;0;0;4;0;3;5;5;0;0;2
test-smells-uima-uimaj;AnalysisEngineManagementImplTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\AnalysisEngineManagementImplTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\main\java\org\apache\uima\analysis_engine\impl\AnalysisEngineManagementImpl.java;66;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-uima-uimaj;AnalysisEngine_implTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\AnalysisEngine_implTest.java;;1705;25;261;0;3;0;0;0;0;39;13;0;0;0;0;11;0;2;42;18;0;0;0
test-smells-uima-uimaj;AnnotatorContext_implTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\AnnotatorContext_implTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\main\java\org\apache\uima\analysis_engine\impl\AnnotatorContext_impl.java;874;25;163;0;0;0;0;0;0;40;0;0;0;0;0;12;0;0;11;13;0;0;7
test-smells-uima-uimaj;SofaMapping_implTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\metadata\SofaMapping_implTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\main\java\org\apache\uima\analysis_engine\metadata\impl\SofaMapping_impl.java;82;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-uima-uimaj;ProcessThreadMany;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\MultiprocessingAnalysisEngine_implTest.java;;596;3;23;0;0;0;0;0;0;2;7;0;0;0;0;3;0;0;3;5;0;0;0
test-smells-uima-uimaj;PearAnalysisEngineWrapperTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\PearAnalysisEngineWrapperTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\main\java\org\apache\uima\analysis_engine\impl\PearAnalysisEngineWrapper.java;148;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-uima-uimaj;ResultSpecification_implTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\ResultSpecification_implTest.java;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\main\java\org\apache\uima\analysis_engine\impl\ResultSpecification_impl.java;590;26;90;19;0;0;0;0;0;7;18;0;0;0;0;4;0;0;0;19;0;0;11
test-smells-uima-uimaj;ResultSpecTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\ResultSpecTest.java;;197;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-uima-uimaj;TofLs;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\ResultSpecWithTypeSystemTest.java;;252;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-uima-uimaj;SequencerCapabilityLanguageTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\sequencer\SequencerCapabilityLanguageTest.java;;231;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uima-uimaj;SequencerFixedTest;C:\Users\crist\.jnose_projects\test-smells-uima-uimaj\uimaj-core\src\test\java\org\apache\uima\analysis_engine\impl\sequencer\SequencerFixedTest.java;;365;10;0;0;7;0;0;0;0;0;7;0;0;0;0;7;0;7;0;7;0;0;0
