App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-amazon-kinesis-video-streams-parser-library;EBMLParserTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\ebml\EBMLParserTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\ebml\EBMLParser.java;487;38;1;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;EBMLUtilsTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\ebml\EBMLUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\ebml\EBMLUtils.java;93;8;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-amazon-kinesis-video-streams-parser-library;KinesisVideoExampleTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoExampleTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoExample.java;60;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;KinesisVideoGStreamerPiperExampleTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoGStreamerPiperExampleTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoGStreamerPiperExample.java;69;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;KinesisVideoRekognitionIntegrationExampleTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoRekognitionIntegrationExampleTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoRekognitionIntegrationExample.java;67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;KinesisVideoRendererExampleTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoRendererExampleTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\examples\KinesisVideoRendererExample.java;67;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;EBMLParserForMkvTypeInfosTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\mkv\EBMLParserForMkvTypeInfosTest.java;;55;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;ElementSizeAndOffsetVisitorTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\mkv\ElementSizeAndOffsetVisitorTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\mkv\visitors\ElementSizeAndOffsetVisitor.java;60;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-amazon-kinesis-video-streams-parser-library;MkvValueTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\mkv\MkvValueTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\mkv\MkvValue.java;58;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-amazon-kinesis-video-streams-parser-library;StreamingMkvReaderTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\test\java\com\amazonaws\kinesisvideo\parser\mkv\StreamingMkvReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-video-streams-parser-library\src\main\java\com\amazonaws\kinesisvideo\parser\mkv\StreamingMkvReader.java;261;12;0;3;0;0;0;0;0;6;8;0;0;0;0;1;0;0;0;2;0;0;8
