App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-amazon-kinesis-client;CheckpointerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\checkpoint\CheckpointerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\processor\Checkpointer.java;137;9;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-amazon-kinesis-client;SequenceNumberValidatorTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\checkpoint\SequenceNumberValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\checkpoint\SequenceNumberValidator.java;101;7;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-amazon-kinesis-client;ShardPreparedCheckpointerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\checkpoint\ShardPreparedCheckpointerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\checkpoint\ShardPreparedCheckpointer.java;63;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-amazon-kinesis-client;ShardShardRecordProcessorCheckpointerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\checkpoint\ShardShardRecordProcessorCheckpointerTest.java;;810;34;72;0;0;0;0;3;0;0;10;0;1;0;0;3;0;0;6;6;0;0;0
test-smells-amazon-kinesis-client;FutureUtilsTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\common\FutureUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\common\FutureUtils.java;55;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-amazon-kinesis-client;GracefulShutdownCoordinatorTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\coordinator\GracefulShutdownCoordinatorTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\coordinator\GracefulShutdownCoordinator.java;324;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-amazon-kinesis-client;SchedulerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\coordinator\SchedulerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\coordinator\Scheduler.java;497;36;6;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;8
test-smells-amazon-kinesis-client;DynamoDBCheckpointerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBCheckpointerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\checkpoint\dynamodb\DynamoDBCheckpointer.java;81;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-amazon-kinesis-client;DynamoDBLeaseCoordinatorIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseCoordinatorIntegrationTest.java;;241;22;7;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-client;DynamoDBLeaseRefresherIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseRefresherIntegrationTest.java;;300;19;8;0;0;0;0;2;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-client;DynamoDBLeaseRefresherTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseRefresherTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseRefresher.java;268;33;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
test-smells-amazon-kinesis-client;DynamoDBLeaseRenewerIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseRenewerIntegrationTest.java;;263;16;11;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;0;0
test-smells-amazon-kinesis-client;DynamoDBLeaseRenewerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseRenewerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseRenewer.java;120;10;3;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;3
test-smells-amazon-kinesis-client;DynamoDBLeaseTakerIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseTakerIntegrationTest.java;;199;12;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-client;DynamoDBLeaseTakerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseTakerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\leases\dynamodb\DynamoDBLeaseTaker.java;76;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-client;TestHarnessBuilder;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\dynamodb\TestHarnessBuilder.java;;179;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-client;HierarchicalShardSyncerTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\HierarchicalShardSyncerTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\leases\HierarchicalShardSyncer.java;1707;57;52;0;0;0;0;13;0;10;4;0;1;0;0;6;0;0;2;4;0;0;1
test-smells-amazon-kinesis-client;KinesisShardDetectorTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\KinesisShardDetectorTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\leases\KinesisShardDetector.java;255;24;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;2
test-smells-amazon-kinesis-client;LeaseIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\LeaseIntegrationTest.java;;76;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-amazon-kinesis-client;ParentsFirstShardPrioritizationUnitTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\ParentsFirstShardPrioritizationUnitTest.java;;215;11;3;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-amazon-kinesis-client;ShardInfoTest;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\test\java\software\amazon\kinesis\leases\ShardInfoTest.java;C:\Users\crist\.jnose_projects\test-smells-amazon-kinesis-client\amazon-kinesis-client\src\main\java\software\amazon\kinesis\leases\ShardInfo.java;117;12;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
