App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-Jprotobuf-rpc-socket;BaseEchoServiceTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\BaseEchoServiceTest.java;;156;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;BusinessExceptionTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\BusinessExceptionTest.java;;147;13;1;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;1;0;0;0
test-smells-Jprotobuf-rpc-socket;BaseCompressTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\compress\BaseCompressTest.java;;71;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;ChunkInfoTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\data\ChunkInfoTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\main\java\com\baidu\jprotobuf\pbrpc\data\ChunkInfo.java;46;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;RpcDataPackageTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\data\RpcDataPackageTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\main\java\com\baidu\jprotobuf\pbrpc\data\RpcDataPackage.java;143;4;14;3;0;0;0;0;0;3;5;0;0;0;0;1;0;0;0;0;0;0;6
test-smells-Jprotobuf-rpc-socket;RpcHeadMetaTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\data\RpcHeadMetaTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\main\java\com\baidu\jprotobuf\pbrpc\data\RpcHeadMeta.java;49;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;RpcMetaTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\data\RpcMetaTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\main\java\com\baidu\jprotobuf\pbrpc\data\RpcMeta.java;92;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;RpcRequestMetaTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\data\RpcRequestMetaTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\main\java\com\baidu\jprotobuf\pbrpc\data\RpcRequestMeta.java;82;4;3;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;2
test-smells-Jprotobuf-rpc-socket;RpcResponseMetaTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\data\RpcResponseMetaTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\main\java\com\baidu\jprotobuf\pbrpc\data\RpcResponseMeta.java;60;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-Jprotobuf-rpc-socket;DynamiceEchoServiceTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\DynamiceEchoServiceTest.java;;83;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;EchoServicePerformanceTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\EchoServicePerformanceTest.java;;305;23;0;0;0;0;0;0;0;0;5;0;6;0;0;1;0;0;0;0;0;0;0
test-smells-Jprotobuf-rpc-socket;EchoServiceTest;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core\src\test\java\com\baidu\jprotobuf\pbrpc\EchoServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-Jprotobuf-rpc-socket\jprotobuf-rpc-core-test\src\main\java\com\baidu\jprotobuf\pbrpc\proto\EchoService.java;160;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
