App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-uaa;MetricsQueueTest;C:\Users\crist\.jnose_projects\test-smells-uaa\metrics-data\src\test\java\org\cloudfoundry\identity\uaa\metrics\MetricsQueueTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\metrics-data\src\main\java\org\cloudfoundry\identity\uaa\metrics\MetricsQueue.java;139;11;7;2;0;0;0;2;0;11;4;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-uaa;MetricsUtilTest;C:\Users\crist\.jnose_projects\test-smells-uaa\metrics-data\src\test\java\org\cloudfoundry\identity\uaa\metrics\MetricsUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\metrics-data\src\main\java\org\cloudfoundry\identity\uaa\metrics\MetricsUtil.java;40;3;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-uaa;QueryMetricTest;C:\Users\crist\.jnose_projects\test-smells-uaa\metrics-data\src\test\java\org\cloudfoundry\identity\uaa\metrics\QueryMetricTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\metrics-data\src\main\java\org\cloudfoundry\identity\uaa\metrics\QueryMetric.java;37;6;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uaa;OpenIdConfigurationTests;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\account\OpenIdConfigurationTests.java;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\main\java\org\cloudfoundry\identity\uaa\account\OpenIdConfiguration.java;62;3;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uaa;UserInfoResponseJsonTests;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\account\UserInfoResponseJsonTests.java;;85;3;12;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-uaa;JsonDateDeserializerTest;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\impl\JsonDateDeserializerTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\main\java\org\cloudfoundry\identity\uaa\impl\JsonDateDeserializer.java;62;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-uaa;JsonDateSerializerTest;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\impl\JsonDateSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\main\java\org\cloudfoundry\identity\uaa\impl\JsonDateSerializer.java;62;3;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;1;0;0;1
test-smells-uaa;GoogleMfaProviderConfigTest;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\mfa\GoogleMfaProviderConfigTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\main\java\org\cloudfoundry\identity\uaa\mfa\GoogleMfaProviderConfig.java;20;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-uaa;MfaProviderTest;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\mfa\MfaProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\main\java\org\cloudfoundry\identity\uaa\mfa\MfaProvider.java;100;7;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-uaa;ExternalIdentityProviderDefinitionTest;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\test\java\org\cloudfoundry\identity\uaa\provider\ExternalIdentityProviderDefinitionTest.java;C:\Users\crist\.jnose_projects\test-smells-uaa\model\src\main\java\org\cloudfoundry\identity\uaa\provider\ExternalIdentityProviderDefinition.java;43;5;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
