App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-che;ApiAccessRejectionFilterTest;C:\Users\crist\.jnose_projects\test-smells-che\assembly\assembly-ide-war\src\test\java\org\eclipse\che\ApiAccessRejectionFilterTest.java;C:\Users\crist\.jnose_projects\test-smells-che\assembly\assembly-ide-war\src\main\java\org\eclipse\che\ApiAccessRejectionFilter.java;55;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-che;DashboardRedirectionFilterTest;C:\Users\crist\.jnose_projects\test-smells-che\assembly\assembly-ide-war\src\test\java\org\eclipse\che\DashboardRedirectionFilterTest.java;C:\Users\crist\.jnose_projects\test-smells-che\assembly\assembly-ide-war\src\main\java\org\eclipse\che\DashboardRedirectionFilter.java;102;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-che;MetricsOverrideBindingTest;C:\Users\crist\.jnose_projects\test-smells-che\assembly\assembly-wsmaster-war\src\test\java\org\eclipse\che\MetricsOverrideBindingTest.java;C:\Users\crist\.jnose_projects\test-smells-che\assembly\assembly-wsmaster-war\src\main\java\org\eclipse\che\api\deploy\MetricsOverrideBinding.java;72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-che;JsonRpcMessageReceiverTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\jsonrpc\commons\JsonRpcMessageReceiverTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\jsonrpc\commons\JsonRpcMessageReceiver.java;98;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-che;RequestDispatcherTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\jsonrpc\commons\RequestDispatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\jsonrpc\commons\RequestDispatcher.java;77;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-che;EventServiceTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\notification\EventServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\notification\EventService.java;223;19;10;7;0;0;0;0;0;10;0;0;0;0;0;1;0;0;1;0;0;0;20
test-smells-che;PagesTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\PagesTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\Pages.java;145;13;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12
test-smells-che;PageTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\PageTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\Page.java;248;10;4;5;0;0;0;0;0;48;0;0;0;0;0;4;0;0;0;0;0;0;15
test-smells-che;DefaultHttpJsonRequestTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\rest\DefaultHttpJsonRequestTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\rest\DefaultHttpJsonRequest.java;402;43;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
test-smells-che;DefaultHttpJsonResponseTest;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\test\java\org\eclipse\che\api\core\rest\DefaultHttpJsonResponseTest.java;C:\Users\crist\.jnose_projects\test-smells-che\core\che-core-api-core\src\main\java\org\eclipse\che\api\core\rest\DefaultHttpJsonResponse.java;102;9;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
