App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ditto;FieldMapJsonHandlerTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\FieldMapJsonHandlerTest.java;;112;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-ditto;ImmutableJsonArrayBuilderTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonArrayBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonArrayBuilder.java;184;24;2;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;5
test-smells-ditto;ImmutableJsonArrayNullTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonArrayNullTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonArrayNull.java;49;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-ditto;ImmutableJsonArrayTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonArrayTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonArray.java;414;34;66;21;0;0;0;0;0;0;2;0;0;0;0;0;0;0;15;0;0;0;9
test-smells-ditto;ImmutableJsonBooleanTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonBooleanTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonBoolean.java;144;18;3;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-ditto;ImmutableJsonDoubleTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonDoubleTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonDouble.java;265;34;4;5;0;0;0;3;0;0;3;0;1;0;0;0;0;0;1;0;0;0;5
test-smells-ditto;ImmutableJsonFieldSelectorBuilderTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonFieldSelectorBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonFieldSelectorBuilder.java;283;34;1;12;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;9
test-smells-ditto;ImmutableJsonFieldSelectorFactoryTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonFieldSelectorFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonFieldSelectorFactory.java;178;16;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-ditto;ImmutableJsonFieldSelectorTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonFieldSelectorTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonFieldSelector.java;113;7;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ditto;ImmutableJsonFieldTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonFieldTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonField.java;151;16;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-ditto;ImmutableJsonIntTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonIntTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonInt.java;197;28;0;2;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
test-smells-ditto;ImmutableJsonKeyTest;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\test\java\org\eclipse\ditto\json\ImmutableJsonKeyTest.java;C:\Users\crist\.jnose_projects\test-smells-ditto\json\src\main\java\org\eclipse\ditto\json\ImmutableJsonKey.java;72;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
