App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-eclipse.jdt.ls;LibraryTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\nested\gradle1\src\test\java\LibraryTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\simple-gradle\src\main\java\Library.java;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;LibraryTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\nested\gradle2\src\test\java\LibraryTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\simple-gradle\src\main\java\Library.java;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;LibraryTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\simple-gradle\src\test\java\LibraryTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\simple-gradle\src\main\java\Library.java;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;AppTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\maven\archetyped\src\main\resources\archetype-resources\src\test\java\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\testresources\java-doc\sources\src\main\java\bar\foo\App.java;38;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;AppTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\maven\classpathtest\src\test\java\test\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\testresources\java-doc\sources\src\main\java\bar\foo\App.java;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;AbstractWorkspaceTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\AbstractWorkspaceTest.java;;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;BundleUtilsTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\BundleUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\handlers\BundleUtils.java;227;13;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;4;0;0;2
test-smells-eclipse.jdt.ls;CancellableProgressMonitorTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\CancellableProgressMonitorTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\CancellableProgressMonitor.java;45;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-eclipse.jdt.ls;AbstractSourceTestCase;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\codemanipulation\AbstractSourceTestCase.java;;120;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;GenerateGetterAndSetterTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\codemanipulation\GenerateGetterAndSetterTest.java;;573;16;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;ImportOrganizeTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\codemanipulation\ImportOrganizeTest.java;;355;17;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;1;0;4;0;0;0
test-smells-eclipse.jdt.ls;OverrideMethodsTestCase;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\codemanipulation\OverrideMethodsTestCase.java;;346;18;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0
test-smells-eclipse.jdt.ls;BuildPathCommandTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\commands\BuildPathCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\commands\BuildPathCommand.java;152;4;30;4;1;0;0;0;0;6;0;0;0;0;0;1;0;1;0;0;0;0;3
