App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-eclipse.platform.ui;DefineCommandsTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.core.commands.tests\src\org\eclipse\e4\core\commands\tests\DefineCommandsTest.java;;166;11;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-eclipse.platform.ui;HandlerTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.core.commands.tests\src\org\eclipse\e4\core\commands\tests\HandlerTest.java;;364;23;45;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0
test-smells-eclipse.platform.ui;ExampleQueriesApplicationTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.emf.xpath.test\src\org\eclipse\e4\emf\xpath\test\ExampleQueriesApplicationTest.java;;97;8;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.platform.ui;ExampleQueriesTestCase;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.emf.xpath.test\src\org\eclipse\e4\emf\xpath\test\ExampleQueriesTestCase.java;;123;7;14;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0
test-smells-eclipse.platform.ui;BindingCreateTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.ui.bindings.tests\src\org\eclipse\e4\ui\bindings\tests\BindingCreateTest.java;;170;19;32;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-eclipse.platform.ui;BindingLookupTest;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.ui.bindings.tests\src\org\eclipse\e4\ui\bindings\tests\BindingLookupTest.java;;468;31;31;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0
test-smells-eclipse.platform.ui;BindingTableTests;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.ui.bindings.tests\src\org\eclipse\e4\ui\bindings\tests\BindingTableTests.java;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\bundles\org.eclipse.e4.ui.bindings\src\org\eclipse\e4\ui\bindings\internal\BindingTable.java;416;45;26;1;6;0;0;0;0;6;4;0;0;0;0;1;0;0;0;0;0;0;3
test-smells-eclipse.platform.ui;CallHandler;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.ui.bindings.tests\src\org\eclipse\e4\ui\bindings\tests\KeyDispatcherTest.java;;327;4;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
test-smells-eclipse.platform.ui;In;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.ui.tests\src\org\eclipse\e4\ui\tests\application\Bug299755Test.java;;104;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-eclipse.platform.ui;WindowService;C:\Users\crist\.jnose_projects\test-smells-eclipse.platform.ui\tests\org.eclipse.e4.ui.tests\src\org\eclipse\e4\ui\tests\application\Bug308220Test.java;;105;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
