App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-golo-lang;StringOutputStream;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\AnsiCodesTest.java;;65;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-golo-lang;BigIntegerRangeTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\BigIntegerRangeTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\BigIntegerRange.java;222;18;63;16;0;0;0;8;0;10;2;0;0;0;0;0;0;0;8;0;0;0;6
test-smells-golo-lang;CharRangeTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\CharRangeTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\CharRange.java;214;18;64;16;0;0;0;10;0;12;1;0;0;0;0;0;0;0;8;0;0;0;5
test-smells-golo-lang;AssignedFutureTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\concurrent\async\AssignedFutureTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\concurrent\async\AssignedFuture.java;56;2;8;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-golo-lang;PromiseTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\concurrent\async\PromiseTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\concurrent\async\Promise.java;153;6;14;5;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2;1;0;0;5
test-smells-golo-lang;WorkersTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\concurrent\workers\WorkersTest.java;;56;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-golo-lang;DynamicObjectTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\DynamicObjectTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\DynamicObject.java;310;29;22;22;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;7
test-smells-golo-lang;DynamicVariableTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\DynamicVariableTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\DynamicVariable.java;79;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-golo-lang;ResultTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\error\ResultTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\error\Result.java;340;33;83;25;0;0;0;14;0;12;0;0;1;0;0;0;0;0;12;1;0;0;14
test-smells-golo-lang;EvaluationEnvironmentTest;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\test\java\gololang\EvaluationEnvironmentTest.java;C:\Users\crist\.jnose_projects\test-smells-golo-lang\src\main\java\gololang\EvaluationEnvironment.java;142;12;11;10;0;0;0;4;0;8;0;0;0;0;0;0;0;0;0;2;0;0;4
