App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-january;VerboseSuite;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.asserts\src\org\eclipse\january\asserts\TestUtils.java;;253;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-january;AbstractCompoundDatasetTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\AbstractCompoundDatasetTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\AbstractCompoundDataset.java;770;28;59;7;0;0;0;3;0;187;65;0;0;0;0;7;0;0;21;3;0;0;6
test-smells-january;AbstractDatasetTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\AbstractDatasetTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\AbstractDataset.java;2193;67;216;18;0;0;0;0;0;333;71;0;0;0;0;27;0;0;65;24;0;0;13
test-smells-january;AggregateDatasetTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\AggregateDatasetTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\AggregateDataset.java;153;6;0;3;0;0;0;0;0;6;0;0;1;0;0;0;0;0;7;1;0;0;5
test-smells-january;BinaryOperationTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\BinaryOperationTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\BinaryOperation.java;202;9;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-january;BooleanDatasetTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\BooleanDatasetTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\BooleanDataset.java;288;18;4;2;0;0;0;0;0;2;12;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-january;BooleanIteratorTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\BooleanIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\BooleanIterator.java;349;9;5;2;0;0;0;4;0;0;38;0;2;0;0;4;0;0;3;0;0;0;2
test-smells-january;BroadcastIteratorTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\BroadcastIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\BroadcastIterator.java;316;6;10;4;0;0;0;0;0;43;24;0;0;0;0;3;0;0;18;0;0;0;3
test-smells-january;BroadcastSelfIteratorTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\BroadcastSelfIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\BroadcastSelfIterator.java;59;2;0;2;0;0;0;0;0;5;5;0;0;0;0;0;0;0;2;0;0;0;2
test-smells-january;BroadcastUtilsTest;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january.test\src\org\eclipse\january\dataset\BroadcastUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-january\org.eclipse.january\src\org\eclipse\january\dataset\BroadcastUtils.java;34;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
