App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-jetty.project;DfltServlet;C:\Users\crist\.jnose_projects\test-smells-jetty.project\apache-jsp\src\test\java\org\eclipse\jetty\jsp\TestJettyJspServlet.java;;133;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-jetty.project;TestJettyTldPreScanned;C:\Users\crist\.jnose_projects\test-smells-jetty.project\apache-jsp\src\test\java\org\eclipse\jetty\jsp\TestJettyTldPreScanned.java;C:\Users\crist\.jnose_projects\test-smells-jetty.project\apache-jsp\src\main\java\org\eclipse\jetty\apache\jsp\JettyTldPreScanned.java;74;1;2;1;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-jetty.project;TestJspFileNameToClass;C:\Users\crist\.jnose_projects\test-smells-jetty.project\apache-jsp\src\test\java\org\eclipse\jetty\jsp\TestJspFileNameToClass.java;;60;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jetty.project;JspIncludeTest;C:\Users\crist\.jnose_projects\test-smells-jetty.project\apache-jstl\src\test\java\org\eclipse\jetty\jstl\JspIncludeTest.java;;174;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-jetty.project;JstlTest;C:\Users\crist\.jnose_projects\test-smells-jetty.project\apache-jstl\src\test\java\org\eclipse\jetty\jstl\JstlTest.java;;149;7;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-jetty.project;ConscryptHTTP2ServerTest;C:\Users\crist\.jnose_projects\test-smells-jetty.project\jetty-alpn\jetty-alpn-conscrypt-server\src\test\java\org\eclipse\jetty\alpn\conscrypt\server\ConscryptHTTP2ServerTest.java;;141;6;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-jetty.project;JDK9ALPNTest;C:\Users\crist\.jnose_projects\test-smells-jetty.project\jetty-alpn\jetty-alpn-java-server\src\test\java\org\eclipse\jetty\alpn\java\server\JDK9ALPNTest.java;;168;6;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0
test-smells-jetty.project;TestResourceAnnotations;C:\Users\crist\.jnose_projects\test-smells-jetty.project\jetty-annotations\src\test\java\org\eclipse\jetty\annotations\resources\TestResourceAnnotations.java;;168;11;19;0;0;0;0;0;0;4;2;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-jetty.project;TestableAnnotationConfiguration;C:\Users\crist\.jnose_projects\test-smells-jetty.project\jetty-annotations\src\test\java\org\eclipse\jetty\annotations\TestAnnotationConfiguration.java;;293;1;30;0;3;0;0;0;0;5;1;0;0;0;0;2;0;3;5;1;0;0;0
test-smells-jetty.project;SampleHandler;C:\Users\crist\.jnose_projects\test-smells-jetty.project\jetty-annotations\src\test\java\org\eclipse\jetty\annotations\TestAnnotationInheritance.java;;188;7;26;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0
