App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-jgit;GitCloneTaskTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.ant.test\src\org\eclipse\jgit\ant\tasks\GitCloneTaskTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.ant\src\org\eclipse\jgit\ant\tasks\GitCloneTask.java;129;11;0;5;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2
test-smells-jgit;ClientVersionUtilTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\server\ClientVersionUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.server\src\org\eclipse\jgit\http\server\ClientVersionUtil.java;70;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jgit;RootLocaleTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\server\RootLocaleTest.java;;60;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jgit;ServletUtilsTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\server\ServletUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.server\src\org\eclipse\jgit\http\server\ServletUtils.java;64;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jgit;AdvertiseErrorTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\AdvertiseErrorTest.java;;158;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
test-smells-jgit;AsIsServiceTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\AsIsServiceTest.java;;152;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
test-smells-jgit;DefaultReceivePackFactoryTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\DefaultReceivePackFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.server\src\org\eclipse\jgit\http\server\resolver\DefaultReceivePackFactory.java;224;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;2
test-smells-jgit;DefaultUploadPackFactoryTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\DefaultUploadPackFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.server\src\org\eclipse\jgit\http\server\resolver\DefaultUploadPackFactory.java;180;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;2
test-smells-jgit;DumbClientDumbServerTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\DumbClientDumbServerTest.java;;270;11;34;0;0;0;0;0;0;16;0;0;4;0;0;2;0;1;3;5;0;0;0
test-smells-jgit;DumbClientSmartServerTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\DumbClientSmartServerTest.java;;270;11;35;0;0;0;0;0;0;16;0;0;4;0;0;2;0;0;3;5;0;0;0
test-smells-jgit;ErrorServletTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\ErrorServletTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.server\src\org\eclipse\jgit\http\server\glue\ErrorServlet.java;89;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jgit;FileResolverTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\FileResolverTest.java;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit\src\org\eclipse\jgit\transport\resolver\FileResolver.java;160;4;1;0;3;0;0;0;0;0;3;0;0;0;0;1;0;3;0;4;0;0;1
test-smells-jgit;GitServletInitTest;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\GitServletInitTest.java;;144;6;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-jgit;GitServletResponseTests;C:\Users\crist\.jnose_projects\test-smells-jgit\org.eclipse.jgit.http.test\tst\org\eclipse\jgit\http\test\GitServletResponseTests.java;;289;11;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;3;0;0;0
