App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-jnosql;ColumnEntityTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\ColumnEntityTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\main\java\org\jnosql\diana\api\column\ColumnEntity.java;379;34;36;15;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;9
test-smells-jnosql;ColumnsTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\ColumnsTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\main\java\org\jnosql\diana\api\column\Columns.java;66;3;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-jnosql;ColumnTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\ColumnTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\mapping\artemis-core\src\main\java\org\jnosql\artemis\Column.java;86;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;DefaultColumnConditionTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\DefaultColumnConditionTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\main\java\org\jnosql\diana\api\column\DefaultColumnCondition.java;246;21;19;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-jnosql;ColumnParamsTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\ColumnParamsTest.java;;67;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;DefaultColumnDeleteQueryTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\DefaultColumnDeleteQueryTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\main\java\org\jnosql\diana\api\column\query\DefaultColumnDeleteQuery.java;47;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;DefaultColumnQueryParserTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\DefaultColumnQueryParserTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\main\java\org\jnosql\diana\api\column\query\DefaultColumnQueryParser.java;186;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-jnosql;DefaultColumnQueryTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\DefaultColumnQueryTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\main\java\org\jnosql\diana\api\column\query\DefaultColumnQuery.java;60;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;DefaultDeleteQueryBuilderTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\DefaultDeleteQueryBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-document\src\main\java\org\jnosql\diana\api\document\query\DefaultDeleteQueryBuilder.java;303;18;47;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-jnosql;DefaultSelectQueryBuilderTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\DefaultSelectQueryBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-document\src\main\java\org\jnosql\diana\api\document\query\DefaultSelectQueryBuilder.java;361;25;53;22;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10
test-smells-jnosql;DeleteQueryParserTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\DeleteQueryParserTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-document\src\main\java\org\jnosql\diana\api\document\query\DeleteQueryParser.java;475;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;InsertQueryParserTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\InsertQueryParserTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-document\src\main\java\org\jnosql\diana\api\document\query\InsertQueryParser.java;241;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;SelectQueryParserTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\SelectQueryParserTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-document\src\main\java\org\jnosql\diana\api\document\query\SelectQueryParser.java;591;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;UpdateQueryParserTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-column\src\test\java\org\jnosql\diana\api\column\query\UpdateQueryParserTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-document\src\main\java\org\jnosql\diana\api\document\query\UpdateQueryParser.java;135;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;ConditionTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\ConditionTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\jnosql-query-api\src\main\java\org\jnosql\query\Condition.java;56;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;DefaultSettingsTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\DefaultSettingsTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\main\java\org\jnosql\diana\api\DefaultSettings.java;102;10;6;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-jnosql;DefaultValueTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\DefaultValueTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\main\java\org\jnosql\diana\api\DefaultValue.java;157;13;10;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-jnosql;ParamValueTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\ParamValueTest.java;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\jnosql-query-api\src\main\java\org\jnosql\query\ParamValue.java;72;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;AtomicIntegerReaderTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\reader\AtomicIntegerReaderTest.java;;55;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;AtomicLongReaderTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\reader\AtomicLongReaderTest.java;;56;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jnosql;BigDecimalReaderTest;C:\Users\crist\.jnose_projects\test-smells-jnosql\communication\diana-core\src\test\java\org\jnosql\diana\api\reader\BigDecimalReaderTest.java;;56;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
