App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-kura;BluetoothLeTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\examples\test\org.eclipse.kura.example.ble.tisensortag.test\src\test\java\org\eclipse\kura\example\ble\tisensortag\BluetoothLeTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\examples\org.eclipse.kura.example.ble.tisensortag.tinyb\src\main\java\org\eclipse\kura\example\ble\tisensortag\tinyb\BluetoothLe.java;216;3;18;3;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;2
test-smells-kura;TiSensorTagTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\examples\test\org.eclipse.kura.example.ble.tisensortag.test\src\test\java\org\eclipse\kura\example\ble\tisensortag\TiSensorTagTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.driver.ble.sensortag.provider\src\main\java\org\eclipse\kura\internal\driver\ble\sensortag\TiSensorTag.java;1124;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-kura;BluetoothLeTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\examples\test\org.eclipse.kura.example.ble.tisensortag.tinyb.test\src\test\java\org\eclipse\kura\example\ble\tisensortag\tinyb\BluetoothLeTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\examples\org.eclipse.kura.example.ble.tisensortag.tinyb\src\main\java\org\eclipse\kura\example\ble\tisensortag\tinyb\BluetoothLe.java;250;3;18;2;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;2
test-smells-kura;TiSensorTagTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\examples\test\org.eclipse.kura.example.ble.tisensortag.tinyb.test\src\test\java\org\eclipse\kura\example\ble\tisensortag\tinyb\TiSensorTagTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.driver.ble.sensortag.provider\src\main\java\org\eclipse\kura\internal\driver\ble\sensortag\TiSensorTag.java;1261;121;9;2;0;0;0;82;0;5;0;0;0;0;0;1;0;0;0;0;0;0;18
test-smells-kura;AssetTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.asset.provider.test\src\main\java\org\eclipse\kura\asset\provider\test\AssetTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.api\src\main\java\org\eclipse\kura\asset\Asset.java;703;36;45;2;0;0;0;0;0;16;2;0;0;0;0;4;0;0;2;0;0;0;5
test-smells-kura;AbstractRouterTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\main\java\org\eclipse\kura\camel\component\AbstractRouterTest.java;;89;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-kura;PayloadTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\main\java\org\eclipse\kura\camel\component\PayloadTest.java;;58;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-kura;RouterTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\main\java\org\eclipse\kura\camel\component\RouterTest.java;;142;5;8;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-kura;Handle;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\main\java\org\eclipse\kura\camel\DependencyRunnerTest.java;;323;8;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-kura;ScriptRunnerTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\main\java\org\eclipse\kura\camel\runner\ScriptRunnerTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.camel\src\main\java\org\eclipse\kura\camel\runner\ScriptRunner.java;47;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-kura;TypeConverterTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\main\java\org\eclipse\kura\camel\type\TypeConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.camel\src\main\java\org\eclipse\kura\camel\type\TypeConverter.java;84;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-kura;PayloadFactoryTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\test\java\org\eclipse\kura\camel\bean\PayloadFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.camel\src\main\java\org\eclipse\kura\camel\bean\PayloadFactory.java;75;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-kura;DefaultCamelCloudServiceTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\test\java\org\eclipse\kura\camel\camelcloud\DefaultCamelCloudServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.camel\src\main\java\org\eclipse\kura\camel\camelcloud\DefaultCamelCloudService.java;152;3;19;3;0;0;0;0;0;6;0;0;0;0;0;3;0;0;0;1;0;0;4
test-smells-kura;KuraCloudComponentResolverTest;C:\Users\crist\.jnose_projects\test-smells-kura\kura\test\org.eclipse.kura.camel.test\src\test\java\org\eclipse\kura\camel\cloud\KuraCloudComponentResolverTest.java;C:\Users\crist\.jnose_projects\test-smells-kura\kura\org.eclipse.kura.camel\src\main\java\org\eclipse\kura\camel\cloud\KuraCloudComponentResolver.java;44;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
