App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-leshan;BaseInstanceEnablerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\test\java\org\eclipse\leshan\client\util\BaseInstanceEnablerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\main\java\org\eclipse\leshan\client\resource\BaseInstanceEnablerFactory.java;69;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-leshan;LinkFormatHelperTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\test\java\org\eclipse\leshan\client\util\LinkFormatHelperTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\main\java\org\eclipse\leshan\client\util\LinkFormatHelper.java;192;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-leshan;ObjectEnablerTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\test\java\org\eclipse\leshan\client\util\ObjectEnablerTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\main\java\org\eclipse\leshan\client\resource\ObjectEnabler.java;59;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;ObjectsInitializerTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\test\java\org\eclipse\leshan\client\util\ObjectsInitializerTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\main\java\org\eclipse\leshan\client\resource\ObjectsInitializer.java;57;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-leshan;AttributeSetTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\core\attributes\AttributeSetTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\attributes\AttributeSet.java;129;9;6;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-leshan;AttributeTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\core\attributes\AttributeTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\attributes\Attribute.java;29;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-leshan;LwM2mNodeDecoderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\core\node\codec\LwM2mNodeDecoderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\node\codec\LwM2mNodeDecoder.java;713;50;73;0;0;0;0;0;0;41;0;0;0;0;0;1;0;0;10;0;0;0;0
test-smells-leshan;LwM2mNodeEncoderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\core\node\codec\LwM2mNodeEncoderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\node\codec\LwM2mNodeEncoder.java;281;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-leshan;Lwm2mValueConverterTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\core\node\codec\Lwm2mValueConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\node\codec\LwM2mValueConverter.java;91;10;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;LwM2MResourceTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\core\node\LwM2MResourceTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\node\LwM2mResource.java;159;16;4;0;0;0;0;0;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;JsonDeserializerTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\json\JsonDeserializerTest.java;;108;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;JsonSerializerTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\json\JsonSerializerTest.java;;108;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-leshan;ObjectModelSerDesTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\json\ObjectModelSerDesTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\core\model\json\ObjectModelSerDes.java;58;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;LinkObjectTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\LinkObjectTest.java;;141;7;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;TlvDecoderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\tlv\TlvDecoderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\tlv\TlvDecoder.java;80;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-leshan;TlvEncoderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\test\java\org\eclipse\leshan\tlv\TlvEncoderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core\src\main\java\org\eclipse\leshan\tlv\TlvEncoder.java;89;6;5;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-leshan;ResponseCodeUtilTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core-cf\src\test\java\org\eclipse\leshan\core\californium\ResponseCodeUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-core-cf\src\main\java\org\eclipse\leshan\core\californium\ResponseCodeUtil.java;84;7;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-leshan;BootstrapTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\BootstrapTest.java;;227;10;7;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0;0
test-smells-leshan;CreateTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\CreateTest.java;;204;12;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-leshan;DeleteTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\DeleteTest.java;;124;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;DiscoverTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\DiscoverTest.java;;162;12;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;ExecuteTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\ExecuteTest.java;;134;10;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;FailingTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\FailingTest.java;;161;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;ObserveTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\ObserveTest.java;;554;15;85;0;0;0;0;0;0;13;0;0;0;0;0;9;0;0;3;0;0;0;0
test-smells-leshan;QueueModeTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\QueueModeTest.java;;202;8;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;1;0;0;0;0
test-smells-leshan;ReadTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\ReadTest.java;;172;12;25;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;RegistrationTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\RegistrationTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\main\java\org\eclipse\leshan\server\registration\Registration.java;302;11;8;1;0;0;0;0;0;2;2;0;0;0;0;2;0;0;6;1;0;0;2
test-smells-leshan;SecurityTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\SecurityTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-client-core\src\main\java\org\eclipse\leshan\client\object\Security.java;508;24;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;0;0;0
test-smells-leshan;WriteTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-integration-tests\src\test\java\org\eclipse\leshan\integration\tests\WriteTest.java;;570;54;42;0;0;0;0;0;0;20;0;0;0;0;0;1;0;0;6;0;0;0;0
test-smells-leshan;CoapRequestBuilderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\test\java\org\eclipse\leshan\server\californium\impl\CoapRequestBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\main\java\org\eclipse\leshan\server\californium\impl\CoapRequestBuilder.java;316;17;41;12;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-leshan;InMemoryRegistrationStoreTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\test\java\org\eclipse\leshan\server\californium\impl\InMemoryRegistrationStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\main\java\org\eclipse\leshan\server\californium\impl\InMemoryRegistrationStore.java;103;15;8;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
test-smells-leshan;ObservationServiceTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\test\java\org\eclipse\leshan\server\californium\impl\ObservationServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\main\java\org\eclipse\leshan\server\observation\ObservationService.java;169;12;5;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;LeshanBootstrapServerBuilderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\test\java\org\eclipse\leshan\server\californium\LeshanBootstrapServerBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\main\java\org\eclipse\leshan\server\californium\LeshanBootstrapServerBuilder.java;114;7;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-leshan;LeshanServerBuilderTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\test\java\org\eclipse\leshan\server\californium\LeshanServerBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cf\src\main\java\org\eclipse\leshan\server\californium\LeshanServerBuilder.java;73;7;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-leshan;DownlinkRequestSerDesTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\test\java\org\eclipse\leshan\server\cluster\serialization\DownlinkRequestSerDesTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\main\java\org\eclipse\leshan\server\cluster\serialization\DownlinkRequestSerDes.java;100;10;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;RegistrationSerDesTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\test\java\org\eclipse\leshan\server\cluster\serialization\RegistrationSerDesTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\main\java\org\eclipse\leshan\server\cluster\serialization\RegistrationSerDes.java;55;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;RegistrationUpdateSerDesTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\test\java\org\eclipse\leshan\server\cluster\serialization\RegistrationUpdateSerDesTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\main\java\org\eclipse\leshan\server\cluster\serialization\RegistrationUpdateSerDes.java;55;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;ResponseSerDesTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\test\java\org\eclipse\leshan\server\cluster\serialization\ResponseSerDesTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\main\java\org\eclipse\leshan\server\cluster\serialization\ResponseSerDes.java;47;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;SecurityInfoSerDesTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\test\java\org\eclipse\leshan\server\cluster\serialization\SecurityInfoSerDesTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-cluster\src\main\java\org\eclipse\leshan\server\cluster\serialization\SecurityInfoSerDes.java;72;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-leshan;BootstrapHandlerTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\test\java\org\eclipse\leshan\server\bootstrap\BootstrapHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\main\java\org\eclipse\leshan\server\bootstrap\BootstrapHandler.java;167;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-leshan;PresenceServiceTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\test\java\org\eclipse\leshan\server\queue\PresenceServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\main\java\org\eclipse\leshan\server\queue\PresenceService.java;84;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;RegistrationSortObjectLinksTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\test\java\org\eclipse\leshan\server\registration\RegistrationSortObjectLinksTest.java;;48;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-leshan;RegistrationUpdateTest;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\test\java\org\eclipse\leshan\server\registration\RegistrationUpdateTest.java;C:\Users\crist\.jnose_projects\test-smells-leshan\leshan-server-core\src\main\java\org\eclipse\leshan\server\registration\RegistrationUpdate.java;67;1;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
