App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-org.eclipse.linuxtools;GNUFormatTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.tests\src\org\eclipse\linuxtools\changelog\core\formatters\tests\GNUFormatTest.java;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.core\src\org\eclipse\linuxtools\internal\changelog\core\formatters\GNUFormat.java;513;22;11;6;0;0;0;0;0;0;0;0;1;0;0;6;0;0;1;0;0;0;2
test-smells-org.eclipse.linuxtools;AllTests;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.tests\src\org\eclipse\linuxtools\changelog\core\tests\AllTests.java;;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.linuxtools;ChangeLogWriterTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.tests\src\org\eclipse\linuxtools\changelog\core\tests\ChangeLogWriterTest.java;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.core\src\org\eclipse\linuxtools\internal\changelog\core\ChangeLogWriter.java;288;18;0;9;0;0;0;0;0;0;2;0;3;0;0;2;0;0;0;2;0;0;10
test-smells-org.eclipse.linuxtools;CParserTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.tests\src\org\eclipse\linuxtools\changelog\parsers\tests\CParserTest.java;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.cparser\src\org\eclipse\linuxtools\internal\changelog\parsers\CParser.java;434;13;31;0;0;0;0;0;0;7;0;0;1;0;0;6;0;0;0;0;0;0;1
test-smells-org.eclipse.linuxtools;JavaParserTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.tests\src\org\eclipse\linuxtools\changelog\parsers\tests\JavaParserTest.java;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.javaparser\src\org\eclipse\linuxtools\internal\changelog\parsers\java\JavaParser.java;465;13;35;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;0;1
test-smells-org.eclipse.linuxtools;TestChangeLogTestProject;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.tests\src\org\eclipse\linuxtools\changelog\tests\fixtures\TestChangeLogTestProject.java;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\utils\ChangeLogTestProject.java;142;7;15;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;1
test-smells-org.eclipse.linuxtools;AbstractSWTBotTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\swtbot\AbstractSWTBotTest.java;;47;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.linuxtools;AddChangelogEntrySWTBotTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\swtbot\AddChangelogEntrySWTBotTest.java;;242;10;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-org.eclipse.linuxtools;AllSWTBotTests;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\swtbot\AllSWTBotTests.java;;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.linuxtools;CreateChangeLogFromHistorySWTBotTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\swtbot\CreateChangeLogFromHistorySWTBotTest.java;;172;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.linuxtools;DisabledPrepareChangelogSWTBotTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\swtbot\DisabledPrepareChangelogSWTBotTest.java;;81;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.linuxtools;FormatChangeLogSWTBotTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.linuxtools\changelog\org.eclipse.linuxtools.changelog.ui.tests\src\org\eclipse\linuxtools\changelog\ui\tests\swtbot\FormatChangeLogSWTBotTest.java;;114;5;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
