App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-n4js;BlackListStatement;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.tests.helper\src\org\eclipse\n4js\AbstractJSLibTest.java;;76;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractInternalWorkspaceTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.tests.helper\src\org\eclipse\n4js\tests\projectModel\AbstractInternalWorkspaceTest.java;;110;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractN4JSCoreTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.tests.helper\src\org\eclipse\n4js\tests\projectModel\AbstractN4JSCoreTest.java;C:\Users\crist\.jnose_projects\test-smells-n4js\plugins\org.eclipse.n4js\src\org\eclipse\n4js\internal\AbstractN4JSCore.java;105;9;11;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractN4JSProjectTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.tests.helper\src\org\eclipse\n4js\tests\projectModel\AbstractN4JSProjectTest.java;;99;9;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractProjectModelTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.tests.helper\src\org\eclipse\n4js\tests\projectModel\AbstractProjectModelTest.java;;130;17;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractBuilderParticipantTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.ui.tests.helper\src\org\eclipse\n4js\tests\builder\AbstractBuilderParticipantTest.java;;463;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractBuilderTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.ui.tests.helper\src\org\eclipse\n4js\tests\builder\AbstractBuilderTest.java;;338;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;TestEventListener;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.ui.tests.helper\src\org\eclipse\n4js\tests\builder\TestEventListener.java;;58;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AbstractOutlineWorkbenchTest;C:\Users\crist\.jnose_projects\test-smells-n4js\testhelpers\org.eclipse.n4js.ui.tests.helper\src\org\eclipse\n4js\tests\outline\AbstractOutlineWorkbenchTest.java;;206;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AccessControlTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.accesscontrol.tests\src\org\eclipse\n4js\accesscontrol\tests\AccessControlTest.java;;669;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSBugreportPendingTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.bugreports.tests\src\org\eclipse\n4js\bugreports\tests\N4JSBugreportPendingTest.java;;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSBugreportTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.bugreports.tests\src\org\eclipse\n4js\bugreports\tests\N4JSBugreportTest.java;;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSExpectMatrixPendingTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.expectmatrix.tests\src\org\eclipse\n4js\expectmatrix\tests\N4JSExpectMatrixPendingTest.java;;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSExpectMatrixTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.expectmatrix.tests\src\org\eclipse\n4js\expectmatrix\tests\N4JSExpectMatrixTest.java;;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSRuntimeTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.expectmatrix.tests\src\org\eclipse\n4js\expectmatrix\tests\utils\N4JSRuntimeTest.java;;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSFlowGraphTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.flowgraphs.tests\src\org\eclipse\n4js\flowgraphs\tests\N4JSFlowGraphTest.java;;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4JSXFlowgraphPluginTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.flowgraphs.ui.tests\src\org\eclipse\n4js\flowgraphs\ui\tests\N4JSXFlowgraphPluginTest.java;;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;ScenarioTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.generator.headless.tests\src\org\eclipse\n4js\generator\headless\tests\ScenarioTest.java;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.accesscontrol.tests\src\org\eclipse\n4js\accesscontrol\tests\Scenario.java;477;24;0;0;12;0;0;0;1;0;0;0;0;0;0;1;0;12;0;1;0;0;0
test-smells-n4js;AbstractN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\AbstractN4jscJarTest.java;;195;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-n4js;APIReplacementN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\APIReplacementN4jscJarTest.java;;176;7;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;CompileRunTestAllPassN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\CompileRunTestAllPassN4jscJarTest.java;;54;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;CompileRunTestWithFailuresN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\CompileRunTestWithFailuresN4jscJarTest.java;;55;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;N4jsCliTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\N4jsCliTest.java;;163;12;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0;0;0;0
test-smells-n4js;PerformanceReportN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\PerformanceReportN4jscJarTest.java;;101;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-n4js;SingleFileCompileN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\SingleFileCompileN4jscJarTest.java;;191;8;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;TesterN4jscJarTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.integrationtests\src\org\eclipse\n4js\hlc\integrationtests\TesterN4jscJarTest.java;;122;3;6;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-n4js;AbstractN4jscTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.tests\src\org\eclipse\n4js\hlc\tests\AbstractN4jscTest.java;;365;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-n4js;AT_GHOLD_212_transpilecrashTest;C:\Users\crist\.jnose_projects\test-smells-n4js\tests\org.eclipse.n4js.hlc.tests\src\org\eclipse\n4js\hlc\tests\AT_GHOLD_212_transpilecrashTest.java;;62;5;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
