App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-nattable;BlinkLayerTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\blink\BlinkLayerTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\blink\BlinkLayer.java;193;16;8;2;0;0;0;0;0;10;2;0;0;0;0;1;0;0;2;0;0;0;2
test-smells-nattable;UpdateEventsCacheTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\blink\UpdateEventsCacheTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\blink\UpdateEventsCache.java;110;13;4;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;3
test-smells-nattable;ChooseColumnsFromCategoriesCommandHandlerTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\columnCategories\ChooseColumnsFromCategoriesCommandHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\columnCategories\ChooseColumnsFromCategoriesCommandHandler.java;79;6;7;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nattable;ColumnCategoriesLabelProviderTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\columnCategories\ColumnCategoriesLabelProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\columnCategories\gui\ColumnCategoriesLabelProvider.java;54;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nattable;ColumnCategoriesModelTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\columnCategories\ColumnCategoriesModelTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\columnCategories\ColumnCategoriesModel.java;81;6;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;1
test-smells-nattable;TreeTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\columnCategories\TreeTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\columnCategories\Tree.java;106;8;13;4;0;0;0;1;0;6;0;0;0;0;0;0;0;0;1;0;0;0;3
test-smells-nattable;ColumnChooserUtilsTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\columnChooser\ColumnChooserUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\columnChooser\ColumnChooserUtils.java;115;8;4;1;0;0;0;1;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-nattable;ColumnChooserDialogTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\columnChooser\gui\ColumnChooserDialogTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\columnChooser\gui\ColumnChooserDialog.java;422;38;27;14;0;0;0;14;0;36;0;0;0;0;0;0;0;0;1;0;0;0;6
test-smells-nattable;CommandPropagationTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\command\CommandPropagationTest.java;;46;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-nattable;ConfigRegistryTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\config\ConfigRegistryTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\config\ConfigRegistry.java;172;10;16;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;2
test-smells-nattable;DefaultComparatorTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\config\DefaultComparatorTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\config\DefaultComparator.java;76;9;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-nattable;IndexCoordinateTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\coordinate\IndexCoordinateTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\coordinate\IndexCoordinate.java;49;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nattable;PositionCoordinateTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\coordinate\PositionCoordinateTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\coordinate\PositionCoordinate.java;52;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nattable;PositionUtilTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\coordinate\PositionUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\coordinate\PositionUtil.java;105;6;20;0;0;0;0;5;0;23;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-nattable;RangeTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\coordinate\RangeTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\coordinate\Range.java;31;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-nattable;CopyDataCommandHandlerTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\copy\command\CopyDataCommandHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\copy\command\CopyDataCommandHandler.java;294;15;9;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-nattable;AutomaticSpanningDataProviderTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\data\AutomaticSpanningDataProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\data\AutomaticSpanningDataProvider.java;45;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-nattable;RowDeleteCommandTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\data\command\RowDeleteCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\data\command\RowDeleteCommand.java;149;8;38;0;0;0;0;0;0;37;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-nattable;RowInsertCommandTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\data\command\RowInsertCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\data\command\RowInsertCommand.java;284;14;42;0;0;0;0;0;0;42;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-nattable;RowObjectDeleteCommandTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\data\command\RowObjectDeleteCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\data\command\RowObjectDeleteCommand.java;150;8;38;0;0;0;0;0;0;37;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-nattable;DefaultBigDecimalDisplayConverterTest;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core.test\src\org\eclipse\nebula\widgets\nattable\data\convert\DefaultBigDecimalDisplayConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-nattable\org.eclipse.nebula.widgets.nattable.core\src\org\eclipse\nebula\widgets\nattable\data\convert\DefaultBigDecimalDisplayConverter.java;100;11;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
