App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-packagedrone;ChannelDataTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.maven.tests\src\org\eclipse\packagedrone\repo\adapter\maven\ChannelDataTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.maven\src\org\eclipse\packagedrone\repo\adapter\maven\ChannelData.java;60;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-packagedrone;RepositoryAggregatorTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.maven.tests\src\org\eclipse\packagedrone\repo\adapter\maven\internal\RepositoryAggregatorTest.java;;251;14;4;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;3;0;0;0;0
test-smells-packagedrone;UploadTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.maven.tests\src\org\eclipse\packagedrone\repo\adapter\maven\upload\UploadTest.java;;214;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;MavenLocatorTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.p2.tests\src\org\eclipse\packagedrone\repo\adapter\p2\internal\servlet\MavenLocatorTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.p2\src\org\eclipse\packagedrone\repo\adapter\p2\internal\servlet\MavenLocator.java;138;10;7;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-packagedrone;RpmExtractorTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.rpm.tests\src\org\eclipse\packagedrone\repo\adapter\rpm\internal\RpmExtractorTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.rpm\src\org\eclipse\packagedrone\repo\adapter\rpm\internal\RpmExtractor.java;89;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;MavenTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.adapter.unzip.tests\src\org\eclipse\packagedrone\repo\adapter\unzip\MavenTest.java;;213;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;InstallableUnitTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.aspect.common.tests\src\org\eclipse\packagedrone\repo\aspect\common\tests\InstallableUnitTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.aspect.common\src\org\eclipse\packagedrone\repo\aspect\common\p2\InstallableUnit.java;235;11;13;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-packagedrone;P2PerformanceTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.aspect.common.tests\src\org\eclipse\packagedrone\repo\aspect\common\tests\P2PerformanceTest.java;;75;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;RegenerationTrackerTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.apm.tests\src\org\eclipse\packagedrone\repo\channel\apm\aspect\RegenerationTrackerTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.apm\src\org\eclipse\packagedrone\repo\channel\apm\aspect\RegenerationTracker.java;133;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1
test-smells-packagedrone;CacheStoreTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.apm.tests\src\org\eclipse\packagedrone\repo\channel\apm\blob\CacheStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.apm\src\org\eclipse\packagedrone\repo\channel\apm\store\CacheStore.java;234;12;11;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;7;0;0;8
test-smells-packagedrone;PeristencePerformanceTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.apm.tests\src\org\eclipse\packagedrone\repo\channel\apm\PeristencePerformanceTest.java;;180;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-packagedrone;PersistenceTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.apm.tests\src\org\eclipse\packagedrone\repo\channel\apm\PersistenceTest.java;;87;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-packagedrone;FilterTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.tests\src\org\eclipse\packagedrone\repo\channel\FilterTest.java;;45;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;LikeTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.tests\src\org\eclipse\packagedrone\repo\channel\search\stream\LikeTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel\src\org\eclipse\packagedrone\repo\channel\search\Like.java;187;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;StreamArtifactLocatorTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.tests\src\org\eclipse\packagedrone\repo\channel\StreamArtifactLocatorTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel\src\org\eclipse\packagedrone\repo\channel\search\stream\StreamArtifactLocator.java;145;16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-packagedrone;TransferArchiveTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.channel.tests\src\org\eclipse\packagedrone\repo\channel\transfer\TransferArchiveTest.java;;155;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0
test-smells-packagedrone;SplitsTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.tests\src\org\eclipse\packagedrone\repo\tests\SplitsTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo\src\org\eclipse\packagedrone\repo\utils\Splits.java;65;7;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-packagedrone;FilterTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.utils.osgi.tests\src\org\eclipse\packagedrone\repo\utils\osgi\tests\FilterTest.java;;124;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;HeadersTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.repo.utils.osgi.tests\src\org\eclipse\packagedrone\repo\utils\osgi\tests\HeadersTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.rpm\src\org\eclipse\packagedrone\utils\rpm\header\Headers.java;164;13;15;0;0;0;0;0;0;11;1;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-packagedrone;BaseTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.storage.apm.tests\src\org\eclipse\packagedrone\storage\apm\BaseTest.java;;659;30;17;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;3;0;0;0
test-smells-packagedrone;ConverterTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.converter.tests\src\org\eclipse\packagedrone\utils\converter\ConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.converter\src\org\eclipse\packagedrone\utils\converter\Converter.java;97;13;1;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;BinaryPackageTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.deb.tests\src\org\eclipse\packagedrone\utils\deb\tests\BinaryPackageTest.java;;75;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;ControlFieldDefinition;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.deb.tests\src\org\eclipse\packagedrone\utils\deb\tests\ControlFileWriterTest.java;;60;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-packagedrone;PackagesTest;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.deb.tests\src\org\eclipse\packagedrone\utils\deb\tests\PackagesTest.java;C:\Users\crist\.jnose_projects\test-smells-packagedrone\bundles\org.eclipse.packagedrone.utils.deb\src\org\eclipse\packagedrone\utils\deb\Packages.java;163;9;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
