App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-paho.mqtt.java;AutomaticReconnectTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\automaticReconnect\AutomaticReconnectTest.java;;203;12;8;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;3;1;0;0;0
test-smells-paho.mqtt.java;OfflineBufferingTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\automaticReconnect\OfflineBufferingTest.java;;511;16;18;0;0;0;0;0;0;4;10;0;0;0;0;6;0;0;2;1;0;0;0
test-smells-paho.mqtt.java;BasicSSLTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\BasicSSLTest.java;;426;16;0;0;0;0;0;0;0;0;19;0;0;0;0;5;0;0;0;5;0;0;0
test-smells-paho.mqtt.java;BasicTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\BasicTest.java;;554;21;32;0;0;0;0;0;0;10;13;0;0;0;0;7;0;0;8;8;0;0;0
test-smells-paho.mqtt.java;Bug443142Test;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\Bug443142Test.java;;108;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-paho.mqtt.java;ConnectionLossTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\connectionLoss\ConnectionLossTest.java;;491;24;0;0;0;0;0;0;0;0;20;0;0;0;0;7;0;0;0;5;0;0;0
test-smells-paho.mqtt.java;Issue370Test;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\Issue370Test.java;;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-paho.mqtt.java;LiveTakeOverTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\LiveTakeOverTest.java;;299;13;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-paho.mqtt.java;ModelTestCase;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\ModelTestCase.java;;686;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-paho.mqtt.java;MqttConnectOptionsTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\MqttConnectOptionsTest.java;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3\src\main\java\org\eclipse\paho\client\mqttv3\MqttConnectOptions.java;33;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
test-smells-paho.mqtt.java;MqttDataTypesTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\MqttDataTypesTest.java;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.mqttv5.common\src\main\java\org\eclipse\paho\mqttv5\common\packet\MqttDataTypes.java;145;12;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-paho.mqtt.java;MqttTopicTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\MqttTopicTest.java;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.mqttv5.client\src\main\java\org\eclipse\paho\mqttv5\client\MqttTopic.java;120;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-paho.mqtt.java;NetworkModuleServiceTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\NetworkModuleServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.mqttv5.client\src\main\java\org\eclipse\paho\mqttv5\client\internal\NetworkModuleService.java;107;8;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;1
test-smells-paho.mqtt.java;listener;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\PerSubscriptionMessageHandlerTest.java;;369;4;8;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0
test-smells-paho.mqtt.java;onConnect;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\SendReceiveAsyncCallbackTest.java;;366;4;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-paho.mqtt.java;SendReceiveAsyncTest;C:\Users\crist\.jnose_projects\test-smells-paho.mqtt.java\org.eclipse.paho.client.mqttv3.test\src\test\java\org\eclipse\paho\client\mqttv3\test\SendReceiveAsyncTest.java;;783;17;4;0;0;0;0;0;0;0;28;0;0;0;0;9;0;0;3;10;0;0;0
