App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-org.eclipse.rap;Parser_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\releng\org.eclipse.rap.clientbuilder\test\com\yahoo\platform\yui\compressor\Parser_Test.java;;71;5;18;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;Compressor_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\releng\org.eclipse.rap.clientbuilder\test\org\eclipse\rap\clientbuilder\Compressor_Test.java;;55;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;QxCleanup_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\releng\org.eclipse.rap.clientbuilder\test\org\eclipse\rap\clientbuilder\QxCleanup_Test.java;;163;10;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;StringReplacer_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\releng\org.eclipse.rap.clientbuilder\test\org\eclipse\rap\clientbuilder\StringReplacer_Test.java;;99;7;4;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;TokenList_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\releng\org.eclipse.rap.clientbuilder\test\org\eclipse\rap\clientbuilder\TokenList_Test.java;;193;13;15;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;CoreTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.core.tests.harness\src\org\eclipse\core\tests\harness\CoreTest.java;;301;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;ExampleTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.core.tests.harness\src\org\eclipse\core\tests\harness\ExampleTest.java;;55;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;TestBarrier;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.core.tests.harness\src\org\eclipse\core\tests\harness\TestBarrier.java;;162;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;SameSessionTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.core.tests.harness\src\org\eclipse\core\tests\session\samples\SameSessionTest.java;;49;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;SampleCrashTest;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.core.tests.harness\src\org\eclipse\core\tests\session\samples\SampleCrashTest.java;;47;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;TestDescriptor;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.core.tests.harness\src\org\eclipse\core\tests\session\TestDescriptor.java;;113;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;FileUploadRunnable_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.filedialog.test\src\org\eclipse\swt\internal\widgets\FileUploadRunnable_Test.java;;345;38;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;ProgressCollector_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.filedialog.test\src\org\eclipse\swt\internal\widgets\ProgressCollector_Test.java;;109;14;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;UploaderService_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.filedialog.test\src\org\eclipse\swt\internal\widgets\UploaderService_Test.java;;52;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;UploaderWidget_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.filedialog.test\src\org\eclipse\swt\internal\widgets\UploaderWidget_Test.java;;71;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;UploadPanel_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.filedialog.test\src\org\eclipse\swt\internal\widgets\UploadPanel_Test.java;;76;10;3;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;FileDialog_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.filedialog.test\src\org\eclipse\swt\widgets\FileDialog_Test.java;;454;51;9;0;2;0;0;0;0;13;0;0;6;0;0;0;0;1;0;0;0;0;0
test-smells-org.eclipse.rap;DiskFileUploadReceiver_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.fileupload.test\src\org\eclipse\rap\fileupload\DiskFileUploadReceiver_Test.java;;174;15;7;0;7;0;0;1;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0
test-smells-org.eclipse.rap;FileUploadEvent_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.fileupload.test\src\org\eclipse\rap\fileupload\FileUploadEvent_Test.java;;85;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;FileUploadHandler_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.fileupload.test\src\org\eclipse\rap\fileupload\FileUploadHandler_Test.java;;318;29;10;0;0;0;0;0;0;3;2;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;FileUploadHandlerStore_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.fileupload.test\src\org\eclipse\rap\fileupload\internal\FileUploadHandlerStore_Test.java;;120;12;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-org.eclipse.rap;FileUploadProcessor_Test;C:\Users\crist\.jnose_projects\test-smells-org.eclipse.rap\tests\org.eclipse.rap.fileupload.test\src\org\eclipse\rap\fileupload\internal\FileUploadProcessor_Test.java;;206;17;13;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
