App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-rdf4j;SPARQLJSONBooleanTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\sparqljson\SPARQLJSONBooleanTest.java;;84;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLJSONParserCustomTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\sparqljson\SPARQLJSONParserCustomTest.java;;417;56;14;0;0;0;0;0;0;7;0;0;2;0;0;0;0;0;0;3;0;0;0
test-smells-rdf4j;SPARQLJSONTupleBackgroundTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\sparqljson\SPARQLJSONTupleBackgroundTest.java;;260;9;61;0;0;0;0;0;0;24;11;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLJSONTupleTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\sparqljson\SPARQLJSONTupleTest.java;;280;9;69;0;0;0;0;0;0;28;12;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLXMLParserCustomTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\sparqlxml\SPARQLXMLParserCustomTest.java;;158;5;6;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-rdf4j;SPARQLCSVTupleBackgroundTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\text\csv\SPARQLCSVTupleBackgroundTest.java;;225;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLCSVTupleTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\text\csv\SPARQLCSVTupleTest.java;;225;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLTSVCustomTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\text\tsv\SPARQLTSVCustomTest.java;;78;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLTSVTupleBackgroundTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\text\tsv\SPARQLTSVTupleBackgroundTest.java;;129;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-rdf4j;SPARQLTSVTupleTest;C:\Users\crist\.jnose_projects\test-smells-rdf4j\compliance\queryresultio\src\test\java\org\eclipse\rdf4j\query\resultio\text\tsv\SPARQLTSVTupleTest.java;;119;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
