App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-tycho;DefaultEquinoxInstallationFactoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\sisu-equinox\sisu-equinox-launching\src\test\java\org\eclipse\sisu\equinox\launching\internal\DefaultEquinoxInstallationFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\sisu-equinox\sisu-equinox-launching\src\main\java\org\eclipse\sisu\equinox\launching\internal\DefaultEquinoxInstallationFactory.java;103;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-tycho;EquinoxLaunchConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-tycho\sisu-equinox\sisu-equinox-launching\src\test\java\org\eclipse\sisu\equinox\launching\internal\EquinoxLaunchConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\sisu-equinox\sisu-equinox-launching\src\main\java\org\eclipse\sisu\equinox\launching\internal\EquinoxLaunchConfiguration.java;37;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;CompoundArtifactDeltaTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-artifactcomparator\src\test\java\org\eclipse\tycho\jarcomparator\tests\CompoundArtifactDeltaTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-artifactcomparator\src\main\java\org\eclipse\tycho\zipcomparator\internal\CompoundArtifactDelta.java;52;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;ContentsComparatorTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-artifactcomparator\src\test\java\org\eclipse\tycho\jarcomparator\tests\ContentsComparatorTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-artifactcomparator\src\main\java\org\eclipse\tycho\zipcomparator\internal\ContentsComparator.java;75;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;SortedProperties;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.core.shared.tests\src\test\java\org\eclipse\tycho\core\shared\BuildPropertiesImplTest.java;;134;4;17;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-tycho;LRUCacheTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.core.shared.tests\src\test\java\org\eclipse\tycho\core\shared\LRUCacheTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.core.shared\src\main\java\org\eclipse\tycho\core\shared\LRUCache.java;53;3;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;TargetEnvironmentTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.core.shared.tests\src\test\java\org\eclipse\tycho\core\shared\TargetEnvironmentTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.core.shared\src\main\java\org\eclipse\tycho\core\shared\TargetEnvironment.java;94;14;6;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-tycho;BaseMavenRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\BaseMavenRepositoryTest.java;;58;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;GAVArtifactDescriptorTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\GAVArtifactDescriptorTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\local\GAVArtifactDescriptor.java;213;23;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-tycho;LocalArtifactRepositoryFactoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\LocalArtifactRepositoryFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\local\LocalArtifactRepositoryFactory.java;55;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-tycho;LocalArtifactRepositoryP2APITest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\LocalArtifactRepositoryP2APITest.java;;688;85;61;0;5;0;0;0;1;16;0;0;1;0;0;0;0;5;0;2;0;0;0
test-smells-tycho;LocalArtifactRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\LocalArtifactRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\local\LocalArtifactRepository.java;247;14;11;10;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5
test-smells-tycho;LocalMetadataRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\LocalMetadataRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\local\LocalMetadataRepository.java;143;7;2;2;3;0;0;0;0;2;0;0;0;0;0;1;0;3;0;0;0;0;1
test-smells-tycho;MirroringArtifactProviderErrorTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\MirroringArtifactProviderErrorTest.java;;91;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
test-smells-tycho;MirroringArtifactProviderPack200CornerCasesTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\MirroringArtifactProviderPack200CornerCasesTest.java;;145;17;7;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;MirroringArtifactProviderTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\local\MirroringArtifactProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\local\MirroringArtifactProvider.java;366;49;13;0;4;0;0;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;5
test-smells-tycho;ModuleArtifactRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\module\ModuleArtifactRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\module\ModuleArtifactRepository.java;254;28;10;1;3;0;0;0;0;2;0;0;0;0;0;0;0;3;0;1;0;0;4
test-smells-tycho;ModuleMetadataRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\module\ModuleMetadataRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\module\ModuleMetadataRepository.java;140;16;2;2;4;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2
test-smells-tycho;PublishingRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\module\PublishingRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\publishing\PublishingRepository.java;139;10;13;0;2;0;0;0;0;1;2;0;1;0;0;0;0;2;0;0;0;0;0
test-smells-tycho;CompositeArtifactProviderTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\p2base\artifact\provider\CompositeArtifactProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\p2base\artifact\provider\CompositeArtifactProvider.java;71;6;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
test-smells-tycho;LocalArtifactTransferPolicyTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\p2base\artifact\provider\formats\LocalArtifactTransferPolicyTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\p2base\artifact\provider\formats\LocalArtifactTransferPolicy.java;45;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;RemoteArtifactTransferPolicyTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\p2base\artifact\provider\formats\RemoteArtifactTransferPolicyTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\p2base\artifact\provider\formats\RemoteArtifactTransferPolicy.java;95;9;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;FileRepositoryArtifactProviderTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\p2base\artifact\repository\FileRepositoryArtifactProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\p2base\artifact\repository\FileRepositoryArtifactProvider.java;94;9;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
test-smells-tycho;ProviderOnlyArtifactRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\p2base\artifact\repository\ProviderOnlyArtifactRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\p2base\artifact\repository\ProviderOnlyArtifactRepository.java;115;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;RepositoryArtifactProviderTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\p2base\artifact\repository\RepositoryArtifactProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\p2base\artifact\repository\RepositoryArtifactProvider.java;186;12;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
test-smells-tycho;StatusToolTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository.tests\src\test\java\org\eclipse\tycho\repository\util\StatusToolTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.maven.repository\src\main\java\org\eclipse\tycho\repository\util\StatusTool.java;117;8;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-tycho;MavenPropertiesAdviceTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl.test\src\test\java\org\eclipse\tycho\p2\impl\publisher\MavenPropertiesAdviceTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl\src\main\java\org\eclipse\tycho\p2\impl\publisher\MavenPropertiesAdvice.java;48;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;P2DependencyGeneratorImplTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl.test\src\test\java\org\eclipse\tycho\p2\impl\publisher\P2DependencyGeneratorImplTest.java;;261;19;50;0;0;0;0;0;0;26;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;FeatureRootfileArtifactRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl.test\src\test\java\org\eclipse\tycho\p2\impl\publisher\repo\FeatureRootfileArtifactRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl\src\main\java\org\eclipse\tycho\p2\impl\publisher\repo\FeatureRootfileArtifactRepository.java;158;13;0;5;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-tycho;FeatureRootAdviceFilesTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl.test\src\test\java\org\eclipse\tycho\p2\impl\publisher\rootfiles\FeatureRootAdviceFilesTest.java;;189;13;4;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;FeatureRootAdviceLinksTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl.test\src\test\java\org\eclipse\tycho\p2\impl\publisher\rootfiles\FeatureRootAdviceLinksTest.java;;114;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-tycho;FeatureRootAdvicePermissionsTest;C:\Users\crist\.jnose_projects\test-smells-tycho\tycho-bundles\org.eclipse.tycho.p2.resolver.impl.test\src\test\java\org\eclipse\tycho\p2\impl\publisher\rootfiles\FeatureRootAdvicePermissionsTest.java;;150;13;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
