App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-sourceediting;TestCharSequenceReader;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\document\TestCharSequenceReader.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\text\CharSequenceReader.java;196;13;12;10;0;0;0;0;0;5;10;0;0;0;0;1;0;0;1;0;0;0;2
test-smells-sourceediting;TestObjects;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\document\TestObjects.java;;57;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestRegionList;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\document\TestRegionList.java;;445;23;10;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;21;2;0;0;0
test-smells-sourceediting;TestRegionMatches;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\document\TestRegionMatches.java;;95;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestAboutToBeChangedEvent;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\events\TestAboutToBeChangedEvent.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\provisional\events\AboutToBeChangedEvent.java;62;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestNewDocumentContentEvent;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\events\TestNewDocumentContentEvent.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\provisional\events\NewDocumentContentEvent.java;59;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestNewDocumentEvent;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\events\TestNewDocumentEvent.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\provisional\events\NewDocumentEvent.java;57;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestNoChangeEvent;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\events\TestNoChangeEvent.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\provisional\events\NoChangeEvent.java;40;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestRegionChangedEvent;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\events\TestRegionChangedEvent.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\provisional\events\RegionChangedEvent.java;51;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-sourceediting;TestRegionsReplacedEvent;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\tests\org.eclipse.wst.sse.core.tests\src\org\eclipse\wst\sse\core\tests\events\TestRegionsReplacedEvent.java;C:\Users\crist\.jnose_projects\test-smells-sourceediting\core\bundles\org.eclipse.wst.sse.core\src\org\eclipse\wst\sse\core\internal\provisional\events\RegionsReplacedEvent.java;53;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
