App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-xtext-eclipse;AbstractEMFBasedPersisterTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\AbstractEMFBasedPersisterTest.java;;170;15;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-eclipse;BinaryGuillemetBugfixTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\BinaryGuillemetBugfixTest.java;;59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-xtext-eclipse;Bug349445Test;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\Bug349445Test.java;;148;21;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-eclipse;BuilderStateFactoryTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\BuilderStateFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder\emf-gen\org\eclipse\xtext\builder\builderState\BuilderStateFactory.java;56;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-eclipse;EclipseResourceFileSystemAccess2Test;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\EclipseResourceFileSystemAccess2Test.java;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder\src\org\eclipse\xtext\builder\EclipseResourceFileSystemAccess2.java;104;7;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
test-smells-xtext-eclipse;EclipseResourceFileSystemAccessTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\EclipseResourceFileSystemAccessTest.java;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder\deprecated\org\eclipse\xtext\builder\EclipseResourceFileSystemAccess.java;63;2;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-eclipse;EObjectDescriptionImplTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\EObjectDescriptionImplTest.java;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder\emf-gen\org\eclipse\xtext\builder\builderState\impl\EObjectDescriptionImpl.java;53;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-xtext-eclipse;GenericResourceDescriptionManagerTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\GenericResourceDescriptionManagerTest.java;;63;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-eclipse;PersistableResourceDescriptionsTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\builderState\PersistableResourceDescriptionsTest.java;;355;26;52;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;8;0;0;0;0
test-smells-xtext-eclipse;AbstractBuilderParticipantTest;C:\Users\crist\.jnose_projects\test-smells-xtext-eclipse\org.eclipse.xtext.builder.tests\src\org\eclipse\xtext\builder\impl\AbstractBuilderParticipantTest.java;;124;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
