App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-xtext-xtend;AbstractXtendTestCase;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.caliper.tests\src\org\eclipse\xtend\caliper\tests\AbstractXtendTestCase.java;;174;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;AbstractAssignabilityTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.caliper.tests\xtend-gen\org\eclipse\xtend\caliper\tests\typesystem\newImpl\AbstractAssignabilityTest.java;;199;15;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;AssignabilityTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.caliper.tests\xtend-gen\org\eclipse\xtend\caliper\tests\typesystem\newImpl\AssignabilityTest.java;;399;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;CommonAssignabilityTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.caliper.tests\xtend-gen\org\eclipse\xtend\caliper\tests\typesystem\newImpl\CommonAssignabilityTest.java;;857;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;RichStringWithCommentCompilerTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\longrunning\src\org\eclipse\xtend\core\tests\richstring\RichStringWithCommentCompilerTest.java;;43;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;AbstractSmokeTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\longrunning\src\org\eclipse\xtend\core\tests\smoke\AbstractSmokeTest.java;;272;22;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;SmokeTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\longrunning\src\org\eclipse\xtend\core\tests\smoke\SmokeTest.java;;276;16;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;AbstractXtendTestCase;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\src\org\eclipse\xtend\core\tests\AbstractXtendTestCase.java;;179;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;AnnotationsCompilerTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\src\org\eclipse\xtend\core\tests\annotations\AnnotationsCompilerTest.java;;221;27;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;AbstractXbaseEvaluationTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\src\org\eclipse\xtend\core\tests\compiler\AbstractXbaseEvaluationTest.java;;5008;756;0;0;0;0;0;0;0;135;6;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-xtext-xtend;CompilerTest;C:\Users\crist\.jnose_projects\test-smells-xtext-xtend\org.eclipse.xtend.core.tests\src\org\eclipse\xtend\core\tests\compiler\CompilerTest.java;;3420;245;57;0;0;0;0;0;0;12;2;0;0;0;0;4;0;0;0;9;0;0;0
