App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-fresco;FrescoFrameCacheTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\fresco\animation\bitmap\cache\FrescoFrameCacheTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\main\java\com\facebook\fresco\animation\bitmap\cache\FrescoFrameCache.java;147;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-fresco;AnimatedDrawableBackendAnimationInformationTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\fresco\animation\bitmap\wrapper\AnimatedDrawableBackendAnimationInformationTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\main\java\com\facebook\fresco\animation\bitmap\wrapper\AnimatedDrawableBackendAnimationInformation.java;63;7;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-fresco;AnimatedDrawableBackendFrameRendererTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\fresco\animation\bitmap\wrapper\AnimatedDrawableBackendFrameRendererTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\main\java\com\facebook\fresco\animation\bitmap\wrapper\AnimatedDrawableBackendFrameRenderer.java;106;9;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
test-smells-fresco;AnimatedDrawableBackendImplTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\imagepipeline\animated\impl\AnimatedDrawableBackendImplTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedDrawableBackendImpl.java;105;13;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fresco;AnimatedFrameCacheTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\imagepipeline\animated\impl\AnimatedFrameCacheTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedFrameCache.java;170;17;18;8;0;0;0;0;0;20;0;0;2;0;0;0;0;0;7;0;0;0;4
test-smells-fresco;AnimatedDrawableUtilTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\imagepipeline\animated\util\AnimatedDrawableUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\util\AnimatedDrawableUtil.java;88;4;25;0;0;0;0;0;0;28;0;0;0;0;0;1;0;0;5;0;0;0;1
test-smells-fresco;AnimatedRepeatedPostprocessorProducerTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java;;238;35;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-fresco;AnimatedSingleUsePostprocessorProducerTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java;;135;23;2;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0
test-smells-fresco;AnimationBackendDelegateTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\backend\AnimationBackendDelegateTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\main\java\com\facebook\fresco\animation\backend\AnimationBackendDelegate.java;139;11;10;4;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;10
test-smells-fresco;AnimationBackendDelegateWithInactivityCheckTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\backend\AnimationBackendDelegateWithInactivityCheckTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\main\java\com\facebook\fresco\animation\backend\AnimationBackendDelegateWithInactivityCheck.java;65;9;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-fresco;BitmapAnimationBackendTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\bitmap\BitmapAnimationBackendTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\main\java\com\facebook\fresco\animation\bitmap\BitmapAnimationBackend.java;456;40;10;9;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;4
test-smells-fresco;DefaultBitmapFramePreparerTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\bitmap\preparation\DefaultBitmapFramePreparerTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\main\java\com\facebook\fresco\animation\bitmap\preparation\DefaultBitmapFramePreparer.java;239;20;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
test-smells-fresco;FixedNumberBitmapFramePreparationStrategyTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\bitmap\preparation\FixedNumberBitmapFramePreparationStrategyTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\main\java\com\facebook\fresco\animation\bitmap\preparation\FixedNumberBitmapFramePreparationStrategy.java;125;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-fresco;DropFramesFrameSchedulerTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\frame\DropFramesFrameSchedulerTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-drawable\src\main\java\com\facebook\fresco\animation\frame\DropFramesFrameScheduler.java;196;12;32;0;0;0;0;0;0;33;0;0;1;0;0;0;0;0;0;0;0;0;4
test-smells-fresco;AnimatedImageFactoryGifImplTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-gif\src\test\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactoryGifImplTest.java;;335;22;7;0;0;0;0;6;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0
test-smells-fresco;AnimatedImageFactoryWebPImplTest;C:\Users\crist\.jnose_projects\test-smells-fresco\animated-webp\src\test\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactoryWebPImplTest.java;;330;21;7;0;0;0;0;6;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0
test-smells-fresco;FakeDraweeController;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\controller\AbstractDraweeControllerTest.java;;737;12;9;0;0;0;0;25;0;0;9;0;6;0;0;4;0;0;1;1;0;0;0
test-smells-fresco;DebugControllerOverlayDrawableInternalTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\debug\DebugControllerOverlayDrawableInternalTest.java;;72;6;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fresco;DebugControllerOverlayDrawableTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\debug\DebugControllerOverlayDrawableTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\main\java\com\facebook\drawee\debug\DebugControllerOverlayDrawable.java;99;7;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fresco;ArrayDrawableTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\drawable\ArrayDrawableTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\main\java\com\facebook\drawee\drawable\ArrayDrawable.java;185;19;5;3;0;0;0;3;0;8;0;0;4;0;0;0;0;0;0;0;0;0;4
test-smells-fresco;DrawableUtilsTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\drawable\DrawableUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\main\java\com\facebook\drawee\drawable\DrawableUtils.java;158;21;11;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-fresco;FadeDrawableAllOnTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\drawable\FadeDrawableAllOnTest.java;;426;24;89;0;0;0;0;3;0;50;11;0;1;0;0;2;0;0;3;0;0;0;0
test-smells-fresco;FadeDrawableTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\drawable\FadeDrawableTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\main\java\com\facebook\drawee\drawable\FadeDrawable.java;414;24;89;12;0;0;0;3;0;50;11;0;1;0;0;2;0;0;3;0;0;0;20
test-smells-fresco;ForwardingDrawableTest;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\test\java\com\facebook\drawee\drawable\ForwardingDrawableTest.java;C:\Users\crist\.jnose_projects\test-smells-fresco\drawee\src\main\java\com\facebook\drawee\drawable\ForwardingDrawable.java;113;8;1;3;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1
