App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-MOE;AbstractFileSystemTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\AbstractFileSystemTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\AbstractFileSystem.java;42;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-MOE;CodebaseMergerTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\codebase\CodebaseMergerTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\codebase\CodebaseMerger.java;352;24;8;1;6;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;1
test-smells-MOE;CodebaseTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\codebase\CodebaseTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\codebase\Codebase.java;39;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-MOE;ExpressionProcessingTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\codebase\ExpressionProcessingTest.java;;207;11;5;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0
test-smells-MOE;ParserTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\codebase\expressions\ParserTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\codebase\expressions\Parser.java;284;20;8;0;0;0;0;2;3;0;0;0;0;0;0;1;0;0;2;1;0;0;2
test-smells-MOE;FileDbTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\database\FileDbTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\database\FileDb.java;267;17;7;3;2;0;0;0;0;0;0;0;0;0;0;3;0;2;0;1;0;0;1
test-smells-MOE;RepositoryEquivalenceMatcherTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\database\RepositoryEquivalenceMatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\database\RepositoryEquivalenceMatcher.java;93;6;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-MOE;RepositoryEquivalenceTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\database\RepositoryEquivalenceTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\database\RepositoryEquivalence.java;44;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-MOE;BookkeepingDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\directives\BookkeepingDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\directives\BookkeepingDirective.java;245;10;3;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;1
test-smells-MOE;ChangeDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\test\java\com\google\devtools\moe\client\directives\ChangeDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-MOE\client\src\main\java\com\google\devtools\moe\client\directives\ChangeDirective.java;64;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
