App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-auto;TestValueArrayWithBlahFoo;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\AnnotationMirrorsTest.java;;215;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-auto;AnAnnotationProcessor;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\BasicAnnotationProcessorTest.java;;354;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-auto;FileManagerInvocationHandler;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\GeneratedAnnotationsTest.java;;217;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0
test-smells-auto;MoreElementsTest;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\MoreElementsTest.java;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\main\java\com\google\auto\common\MoreElements.java;420;40;12;4;0;0;0;17;0;0;5;0;0;0;0;0;0;0;1;6;0;0;102
test-smells-auto;TestType;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\MoreTypesIsTypeOfTest.java;;196;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-auto;MoreTypesTest;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\MoreTypesTest.java;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\main\java\com\google\auto\common\MoreTypes.java;436;26;12;2;0;0;0;5;0;0;3;0;0;0;0;4;0;0;0;1;0;0;10
test-smells-auto;RawChildOfNonRaw;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\OverridesTest.java;;664;1;3;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-auto;SimpleAnnotationMirrorTest;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\SimpleAnnotationMirrorTest.java;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\main\java\com\google\auto\common\SimpleAnnotationMirror.java;133;14;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-auto;SimpleTypeAnnotationValueTest;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\SimpleTypeAnnotationValueTest.java;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\main\java\com\google\auto\common\SimpleTypeAnnotationValue.java;97;11;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;1
test-smells-auto;SuperficialValidationTest;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\test\java\com\google\auto\common\SuperficialValidationTest.java;C:\Users\crist\.jnose_projects\test-smells-auto\common\src\main\java\com\google\auto\common\SuperficialValidation.java;292;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
