App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-blockly-android;CodeGeneratorServiceTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\codegen\CodeGeneratorServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\codegen\CodeGeneratorService.java;231;16;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;1
test-smells-blockly-android;BlocklyControllerTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\control\BlocklyControllerTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\control\BlocklyController.java;1749;78;5;1;0;0;0;32;0;0;0;0;8;0;0;20;0;0;2;0;0;0;0
test-smells-blockly-android;ConnectionManagerTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\control\ConnectionManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\control\ConnectionManager.java;400;16;37;2;0;0;0;0;0;18;10;0;2;0;0;5;0;0;8;0;0;0;1
test-smells-blockly-android;FlyoutControllerTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\control\FlyoutControllerTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\control\FlyoutController.java;65;9;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
test-smells-blockly-android;NameManagerTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\control\NameManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\control\NameManager.java;102;8;16;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;0;0;0;2
test-smells-blockly-android;ProcedureManagerTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\control\ProcedureManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\control\ProcedureManager.java;196;19;9;4;0;0;0;0;0;1;0;0;4;0;0;0;0;0;2;0;0;0;6
test-smells-blockly-android;WorkspaceStatsTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\control\WorkspaceStatsTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\control\WorkspaceStats.java;195;10;8;2;0;0;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;0;2
test-smells-blockly-android;AbstractBlockViewTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\ui\AbstractBlockViewTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\ui\AbstractBlockView.java;109;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
test-smells-blockly-android;AbstractInputViewTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\ui\AbstractInputViewTest.java;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklylib-core\src\main\java\com\google\blockly\android\ui\AbstractInputView.java;127;9;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;3
test-smells-blockly-android;BlocklyActivityTest;C:\Users\crist\.jnose_projects\test-smells-blockly-android\blocklytest\src\androidTest\java\com\google\blockly\android\ui\BlocklyActivityTest.java;;108;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
