App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-caja;ErrorReporterTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\ancillary\linter\ErrorReporterTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\ancillary\linter\ErrorReporter.java;85;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-caja;ExitModesTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\ancillary\linter\ExitModesTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\ancillary\linter\ExitModes.java;113;4;33;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
test-smells-caja;CssSchemaTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lang\css\CssSchemaTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lang\css\CssSchema.java;111;9;19;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-caja;HtmlSchemaTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lang\html\HtmlSchemaTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lang\html\HtmlSchema.java;185;12;47;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
test-smells-caja;ChardetTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\ChardetTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lexer\Chardet.java;120;6;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-caja;StreamState;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\CharProducerTest.java;;586;3;17;0;0;0;0;6;0;1;4;0;0;0;0;6;0;0;0;0;0;0;0
test-smells-caja;EscapingTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\escaping\EscapingTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lexer\escaping\Escaping.java;542;22;4;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4
test-smells-caja;UriUtilTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\escaping\UriUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lexer\escaping\UriUtil.java;147;7;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;1
test-smells-caja;FilePositionTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\FilePositionTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lexer\FilePosition.java;88;5;36;5;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;10
test-smells-caja;JsLexerTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\JsLexerTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lexer\JsLexer.java;322;27;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;3
test-smells-caja;PunctuationTrieTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\lexer\PunctuationTrieTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\lexer\PunctuationTrie.java;166;7;13;2;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;3
test-smells-caja;DoctypeMakerTest;C:\Users\crist\.jnose_projects\test-smells-caja\tests\com\google\caja\parser\html\DoctypeMakerTest.java;C:\Users\crist\.jnose_projects\test-smells-caja\src\com\google\caja\parser\html\DoctypeMaker.java;199;4;28;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
