App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-caliper;BadUserCodeTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\BadUserCodeTest.java;;241;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
test-smells-caliper;CaliperMainTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\CaliperMainTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\main\java\com\google\caliper\runner\CaliperMain.java;29;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-caliper;CaliperConfigModuleTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\config\CaliperConfigModuleTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper-runner\src\main\java\com\google\caliper\runner\config\CaliperConfigModule.java;77;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-caliper;CaliperConfigTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\config\CaliperConfigTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper-runner\src\main\java\com\google\caliper\runner\config\CaliperConfig.java;267;19;10;10;4;0;0;14;0;0;0;0;0;0;0;0;0;4;2;2;0;0;8
test-smells-caliper;AllocationInstrumentTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\instrument\AllocationInstrumentTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\main\java\com\google\caliper\runner\instrument\AllocationInstrument.java;167;6;0;0;1;0;0;1;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-caliper;ArbitraryMeasurmentInstrumentTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\instrument\ArbitraryMeasurmentInstrumentTest.java;;57;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-caliper;RuntimeInstrumentTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\instrument\RuntimeInstrumentTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper-runner\src\main\java\com\google\caliper\runner\instrument\RuntimeInstrument.java;360;23;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10
test-smells-caliper;MalformedBenchmarksTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\MalformedBenchmarksTest.java;;209;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-caliper;WorkerTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper\src\test\java\com\google\caliper\runner\worker\WorkerTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper-worker\src\main\java\com\google\caliper\worker\Worker.java;274;23;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-caliper;HostTest;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper-api\src\test\java\com\google\caliper\model\HostTest.java;C:\Users\crist\.jnose_projects\test-smells-caliper\caliper-api\src\main\java\com\google\caliper\model\Host.java;61;3;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
