App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-closure-templates;TestingEnvironment;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\sharedpasses\render\TestingEnvironment.java;;94;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;BaseUtilsTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\base\internal\BaseUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\base\internal\BaseUtils.java;95;4;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;IndentedLinesBuilderTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\base\internal\IndentedLinesBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\base\internal\IndentedLinesBuilder.java;50;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;SanitizedContentKindTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\base\internal\SanitizedContentKindTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\base\internal\SanitizedContentKind.java;55;3;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;SoyFileSupplierTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\base\internal\SoyFileSupplierTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\base\internal\SoyFileSupplier.java;46;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-closure-templates;UniqueNameGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\base\internal\UniqueNameGeneratorTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\base\internal\UniqueNameGenerator.java;81;3;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;4
test-smells-closure-templates;AbstractNodeTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basetree\AbstractNodeTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basetree\AbstractNode.java;111;7;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;CopyPolicyTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basetree\CopyPolicyTest.java;;125;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;BasicEscapeDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\BasicEscapeDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\BasicEscapeDirective.java;240;8;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-closure-templates;ChangeNewlineToBrDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\ChangeNewlineToBrDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\ChangeNewlineToBrDirective.java;58;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;CleanHtmlDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\CleanHtmlDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\CleanHtmlDirective.java;215;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;7;0;0;2
test-smells-closure-templates;FilterImageDataUriDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\FilterImageDataUriDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\FilterImageDataUriDirective.java;61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;InsertWordBreaksDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\InsertWordBreaksDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\InsertWordBreaksDirective.java;60;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;TextDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\TextDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\TextDirective.java;72;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;TruncateDirectiveTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicdirectives\TruncateDirectiveTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicdirectives\TruncateDirective.java;104;3;5;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;AugmentMapFunctionTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicfunctions\AugmentMapFunctionTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicfunctions\AugmentMapFunction.java;54;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-closure-templates;CeilingFunctionTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicfunctions\CeilingFunctionTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicfunctions\CeilingFunction.java;49;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-closure-templates;FloorFunctionTest;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\tests\com\google\template\soy\basicfunctions\FloorFunctionTest.java;C:\Users\crist\.jnose_projects\test-smells-closure-templates\java\src\com\google\template\soy\basicfunctions\FloorFunction.java;48;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
