App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-error-prone-javac;TestConstantValuesDriver;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\constantValues\TestConstantValuesDriver.java;;56;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDupThrowsTags;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\dupThrowsTags\TestDupThrowsTags.java;;62;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;DocTest;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\InheritDocForUserTags\DocTest.java;;248;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestAbsLinkPath;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testAbsLinkPath\TestAbsLinkPath.java;;57;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestAbstractMethod;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testAbstractMethod\TestAbstractMethod.java;;99;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestAnchorNames;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testAnchorNames\TestAnchorNames.java;;163;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestAnnotationOptional;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testAnnotationOptional\TestAnnotationOptional.java;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\jdk\javadoc\doclet\testAnnotationOptional\pkg\AnnotationOptional.java;53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestAnnotationTypes;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testAnnotationTypes\TestAnnotationTypes.java;;79;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestBackSlashInLink;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testBackSlashInLink\TestBackSlashInLink.java;;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestBadPackageFileInJar;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testBadPackageFileInJar\TestBadPackageFileInJar.java;;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestBadSourceFile;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testBadSourceFile\TestBadSourceFile.java;;55;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestBaseClass;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testBaseClass\TestBaseClass.java;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\jdk\javadoc\doclet\testSimpleTagInherit\p\BaseClass.java;51;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestBreakIterator;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testBreakIterator\TestBreakIterator.java;;56;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestCharset;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testCharset\TestCharset.java;;74;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestClassCrossReferences;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testClassCrossReferences\TestClassCrossReferences.java;;68;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestClassTree;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testClassTree\TestClassTree.java;;81;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestCmndLineClass;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testCmndLineClass\TestCmndLineClass.java;;72;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestCompletionFailure;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testCompletionFailure\TestCompletionFailure.java;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\tools\javadoc\completionFailure\CompletionFailure.java;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestConstantValuesPage;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testConstantValuesPage\TestConstantValuesPage.java;;53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestConstructorIndent;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testConstructorIndent\TestConstructorIndent.java;;58;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestConstructors;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testConstructors\TestConstructors.java;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\tools\javac\MethodParameters\Constructors.java;92;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestCRLineSeparator;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testCRLineSeparator\TestCRLineSeparator.java;;83;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-error-prone-javac;TestCustomTag;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testCustomTag\TestCustomTag.java;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testCustomTag\taglets\CustomTag.java;97;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDeprecatedDocs;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDeprecatedDocs\TestDeprecatedDocs.java;;91;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDocEncoding;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDocEncoding\TestDocEncoding.java;;61;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDocErrorReporter;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDocErrorReporter\TestDocErrorReporter.java;;57;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDocFileDir;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDocFileDir\TestDocFileDir.java;;88;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDocFiles;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDocFiles\TestDocFiles.java;;51;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDocRootInlineTag;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDocRootInlineTag\TestDocRootInlineTag.java;;66;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDocRootLink;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDocRootLink\TestDocRootLink.java;;104;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestDupParamWarn;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testDupParamWarn\TestDupParamWarn.java;;53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestEmptyClass;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testEmptyClass\TestEmptyClass.java;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\tools\javac\modules\T8161501\EmptyClass.java;59;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestEnclosingClass;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testEnclosingClass\TestEnclosingClass.java;;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestEncoding;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testEncoding\TestEncoding.java;;55;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestExternalOverridenMethod;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testExternalOverridenMethod\TestExternalOverridenMethod.java;;66;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestGeneratedBy;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testGeneratedBy\TestGeneratedBy.java;;98;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestGroupOption;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testGroupOption\TestGroupOption.java;;73;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-error-prone-javac;TestHeadings;C:\Users\crist\.jnose_projects\test-smells-error-prone-javac\test\com\sun\javadoc\testHeadings\TestHeadings.java;;116;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
